Sample,Hours,nmole 15NH4/g sed
Gcrew_TR_A_T0,0,2.66250819
Gcrew_TR_A_T1,2,4.283501353
Gcrew_TR_A_T2,4,1.860552829
Gcrew_TR_B_T0,0,2.665508562
Gcrew_TR_B_T1,2,3.722598117
Gcrew_TR_B_T2,4,1.453349833
Gcrew_TR_C_T0,0,2.039470382
Gcrew_TR_C_T1,2,6.637806128
Gcrew_TR_C_T2,4,10.81322069
Gcrew_UP_A_T0,0,5.516376661
Gcrew_UP_A_T1,2,4.119362296
Gcrew_UP_A_T2,4,5.017426463
Gcrew_UP_A_T3,6,6.40001631
Gcrew_UP_A_T4,10,8.252947024
Gcrew_UP_B_T0,0,0.230006576
Gcrew_UP_B_T1,2,3.605048189
Gcrew_UP_B_T2,4,4.792520562
Gcrew_UP_B_T3,6,7.653397484
Gcrew_UP_B_T4,10,7.424008289
Gcrew_UP_C_T0,0,2.663793963
Gcrew_UP_C_T1,2,3.561406403
Gcrew_UP_C_T2,4,4.642401223
Gcrew_UP_C_T3,6,9.06117613
Gcrew_UP_C_T4,10,8.985691373
Gcrew_WC_A_T0,0,3.705595493
Gcrew_WC_A_T1,2,16.83460003
Gcrew_WC_A_T2,4,20.06645586
Gcrew_WC_B_T0,0,2.801000617
Gcrew_WC_B_T1,2,24.52336276
Gcrew_WC_B_T2,4,11.26142457
Gcrew_WC_C_T0,0,-0.738528938
Gcrew_WC_C_T1,2,6.290175002
Gcrew_WC_C_T2,4,6.991444533
GWI_TR_A_T0,0,0.571000524
GWI_TR_A_T1,2,9.571009661
GWI_TR_A_T2,4,18.02935009
GWI_TR_B_T0,0,0.747295093
GWI_TR_B_T1,2,22.82666945
GWI_TR_B_T2,4,18.28502373
GWI_TR_C_T0,0,0.927469531
GWI_TR_C_T1,2,7.22123371
GWI_TR_C_T2,4,22.95095823
GWI_UP_A_T0,0,2.294798102
GWI_UP_A_T1,2,3.478071529
GWI_UP_A_T2,4,3.537978779
GWI_UP_A_T3,6,5.374073754
GWI_UP_A_T4,10,9.684976256
GWI_UP_B_T0,0,2.057035274
GWI_UP_B_T1,2,2.893153014
GWI_UP_B_T2,4,4.425683282
GWI_UP_B_T3,6,4.63843556
GWI_UP_B_T4,10,12.45012088
GWI_UP_C_T0,0,1.540049234
GWI_UP_C_T1,2,1.54075756
GWI_UP_C_T2,4,2.672785193
GWI_UP_C_T3,6,5.561882436
GWI_UP_C_T4,10,11.64701127
GWI_WC_A_T0,0,0.058260952
GWI_WC_A_T1,2,8.482405198
GWI_WC_A_T2,4,8.172467446
GWI_WC_B_T0,0,0.240742456
GWI_WC_B_T1,2,6.051586617
GWI_WC_B_T2,4,7.285309397
GWI_WC_C_T0,0,-0.00171918
GWI_WC_C_T1,2,19.93603363
GWI_WC_C_T2,4,11.67971162
MSM_TR_A_T0,0,5.965875534
MSM_TR_A_T1,2,26.14876327
MSM_TR_A_T2,4,16.15472868
MSM_TR_B_T0,0,0.414776896
MSM_TR_B_T1,2,4.764695696
MSM_TR_B_T2,4,6.963214606
MSM_TR_C_T0,0,2.894265976
MSM_TR_C_T1,2,6.467110557
MSM_TR_C_T2,4,7.147055848
MSM_UP_A_T0,0,0.644881269
MSM_UP_A_T1,2,0.748089912
MSM_UP_A_T2,4,1.651005524
MSM_UP_A_T3,6,1.32588355
MSM_UP_A_T4,10,2.10165342
MSM_UP_B_T0,0,-0.447608046
MSM_UP_B_T1,2,0.769181238
MSM_UP_B_T2,4,1.537418451
MSM_UP_B_T3,6,3.939413506
MSM_UP_B_T4,10,12.71900614
MSM_UP_C_T0,0,1.266902465
MSM_UP_C_T1,2,2.971989623
MSM_UP_C_T2,4,6.049197004
MSM_UP_C_T3,6,13.7688846
MSM_UP_C_T4,10,20.39803637
MSM_WC_A_T0,0,1.014418195
MSM_WC_A_T1,2,4.337546164
MSM_WC_A_T2,4,5.405041319
MSM_WC_B_T0,0,0.985358776
MSM_WC_B_T1,2,10.73627993
MSM_WC_B_T2,4,7.311557444
MSM_WC_C_T0,0,0.25065241
MSM_WC_C_T1,2,11.68850812
MSM_WC_C_T2,4,16.67140497
SWH_TR_A_T0,0,1.78819426
SWH_TR_A_T1,1,13.69567278
SWH_TR_A_T2,2,15.76477427
SWH_TR_A_T3,4,25.87619806
SWH_TR_B_T0,0,2.674451298
SWH_TR_B_T1,1,13.51737733
SWH_TR_B_T2,2,22.71836824
SWH_TR_B_T3,4,23.97934315
SWH_TR_C_T0,0,-0.58934934
SWH_TR_C_T1,1,9.186598394
SWH_TR_C_T2,2,26.21842233
SWH_TR_C_T3,4,15.16888271
SWH_UP_A_T0,0,2.423575253
SWH_UP_A_T1,1,3.251139927
SWH_UP_A_T2,2,2.937896083
SWH_UP_A_T3,4,4.123065274
SWH_UP_A_T4,6,5.261073684
SWH_UP_A_T5,10,6.042001001
SWH_UP_B_T0,0,2.351017121
SWH_UP_B_T1,1,2.669045685
SWH_UP_B_T2,2,3.194736549
SWH_UP_B_T3,4,3.229819305
SWH_UP_B_T4,6,4.493360164
SWH_UP_B_T5,10,4.26409774
