"","Month","Site","Zone","Depth","RP_mV","value","value_corr"
"28","August","MSM","Upland",10,"X1_mV",164.3,329.72
"91","August","MSM","Upland",10,"X2_mV",92.5,257.92
"154","August","MSM","Upland",10,"X3_mV",238.8,404.22
"217","August","MSM","Upland",10,"X4_mV",239.8,405.22
"280","August","MSM","Upland",10,"X5_mV",-146.3,19.12
"343","August","MSM","Upland",10,"X6_mV",160.6,326.02
"31","August","MSM","Transition",10,"X1_mV",75.3,295.59
"94","August","MSM","Transition",10,"X2_mV",43.7,263.99
"157","August","MSM","Transition",10,"X3_mV",71.5,291.79
"220","August","MSM","Transition",10,"X4_mV",85.5,305.79
"283","August","MSM","Transition",10,"X5_mV",29.5,249.79
"346","August","MSM","Transition",10,"X6_mV",22.7,242.99
"34","August","MSM","Marsh",10,"X1_mV",-195.1,-9.62
"97","August","MSM","Marsh",10,"X2_mV",-202.4,-16.92
"160","August","MSM","Marsh",10,"X3_mV",-204.1,-18.62
"223","August","MSM","Marsh",10,"X4_mV",-210.5,-25.02
"286","August","MSM","Marsh",10,"X5_mV",-192.6,-7.12
"349","August","MSM","Marsh",10,"X6_mV",-245.5,-60.02
"2810","August","GWI ","Upland",10,"X1_mV",345.5,510.92
"911","August","GWI ","Upland",10,"X2_mV",360.3,525.72
"1541","August","GWI ","Upland",10,"X3_mV",165.1,330.52
"2171","August","GWI ","Upland",10,"X4_mV",363.1,528.52
"2801","August","GWI ","Upland",10,"X5_mV",372.7,538.12
"3431","August","GWI ","Upland",10,"X6_mV",343.3,508.72
"3110","August","GWI ","Transition",10,"X1_mV",31.8,252.09
"941","August","GWI ","Transition",10,"X2_mV",-67.2,153.09
"1571","August","GWI ","Transition",10,"X3_mV",8.3,228.59
"2201","August","GWI ","Transition",10,"X4_mV",71.5,291.79
"2831","August","GWI ","Transition",10,"X5_mV",106.1,326.39
"3461","August","GWI ","Transition",10,"X6_mV",92.6,312.89
"3410","August","GWI ","Marsh",10,"X1_mV",58.7,244.18
"971","August","GWI ","Marsh",10,"X2_mV",44.7,230.18
"1601","August","GWI ","Marsh",10,"X3_mV",80.7,266.18
"2231","August","GWI ","Marsh",10,"X4_mV",74.4,259.88
"2861","August","GWI ","Marsh",10,"X5_mV",41.7,227.18
"3491","August","GWI ","Marsh",10,"X6_mV",58,243.48
"1912","August","Gcrew","Upland",10,"X1_mV",337.7,503.12
"732","August","Gcrew","Upland",10,"X2_mV",306.2,471.62
"1272","August","Gcrew","Upland",10,"X3_mV",328.7,494.12
