"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","MSM_TR_CoreB_T3_B",5,3.591,0.038,0.767,434.065,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.17217480736317,0.0124469839265694,0.250364265563325,0.00861892375646253,1.58435939445801e-05,0.00382806017010685,0.250348421969381,0.00382806017010685,0.250348421969381,0.00524468819329519,0.00158165529329519,1.43422940983054,0.00449659320033385,0.00449659320033385,0.250348421969381,0.00399939455290608,0.250849870861232,0.751886175946343,47.1597757219117
"2","MSM_TR_CoreB_T3_A",5,3.302,0.037,0.852,540.083,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.07783938009279,0.0121194317179754,0.278109979478427,0.00792528160507916,1.45685177401848e-05,0.00419415011289628,0.278095410960686,0.00419415011289628,0.278095410960686,0.00563023610435825,0.00196720320435825,1.36734655518649,0.00532979139008756,0.00532979139008756,0.278095410960686,0.00477782164223901,0.278652437182614,0.898230468740933,52.3866581903315
"3","MSM_TR_CoreB_T2_B",5,3.513,0.038,0.91,464.181,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.14671403460508,0.0124469839265694,0.297042348973437,0.00843171237996459,1.5499455730245e-05,0.00401527154660478,0.297026849517707,0.00401527154660478,0.297026849517707,0.00535423924763074,0.00169120634763074,1.45543616862012,0.00487858983921119,0.00487858983921119,0.297026849517707,0.00428822972155002,0.297621795486885,0.806187187651405,55.9528975515344
"4","MSM_TR_CoreB_T2_A",5,3.533,0.037,0.789,417.649,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.15324243787638,0.0121194317179754,0.257545509164881,0.00847971529701535,1.55876962980233e-05,0.0036397164209601,0.257529921468583,0.0036397164209601,0.257529921468583,0.00518496259320971,0.00152192969320971,1.42215787021186,0.00429063984190085,0.00429063984190085,0.257529921468583,0.00377884326681221,0.258045754932693,0.710422534160695,48.5126019273464
"5","MSM_TR_CoreA_T3_B",5,4.576,0.045,0.695,328.098,"MSM",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.49369866847504,0.0147398493867269,0.226862013776416,0.0109830674212121,2.01894419076576e-05,0.00375678196551483,0.226841824334508,0.00375678196551483,0.226841824334508,0.00485902687237771,0.00119599397237771,1.73438661115995,0.00411339026328176,0.00411339026328176,0.226841824334508,0.00366291539221857,0.227296189417153,0.688628093737091,42.7316836104248
"6","Gcrew_TR_CoreA_T3_A_2ndhit",5,4.632,0.039,0.798,143.483,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.5119781976347,0.0127745361351633,0.260483290638245,0.0111174755889542,2.04365154974367e-05,0.00165706054620914,0.260462854122747,0.00165706054620914,0.260462854122747,0.00418641549491862,0.000523382594918619,1.78430405877234,0.00185320313723719,0.00185320313723719,0.260462854122747,0.00133308907090727,0.26098456226271,0.250620745330568,49.0650977053895
"7","Gcrew_TR_CoreA_T3_B_2ndhit",5,4.819,0.039,0.61,99.103,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.57301876822142,0.0127745361351633,0.199116299861315,0.0115663028633787,2.12615648061631e-05,0.0012082332717846,0.199095038296509,0.0012082332717846,0.199095038296509,0.0040245894086166,0.000361556508616599,1.78397780094481,0.00128021692823368,0.00128021692823368,0.199095038296509,0.000882510773749203,0.199493826455593,0.16591202546485,37.5048393736515
"8","Gcrew_TR_CoreB_T2_A_2ndhit",5,4.84,0.042,0.885,168.673,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.5798735916563,0.0137571927609451,0.28888184488076,0.011616705926282,2.13542174023302e-05,0.00214048683466311,0.288860490663358,0.00214048683466311,0.288860490663358,0.00427824426772777,0.00061521136772777,1.88152889137687,0.00229681416338336,0.00229681416338336,0.288860490663358,0.00172023511789401,0.289439079383044,0.323404202164074,54.4145469240123
"9","Gcrew_TR_CoreA_T2_A_2ndhit",5,7.954,0.062,0.519,58.948,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,2.5963459809988,0.0203082369328237,0.169412064963971,0.0190907601110841,3.50932738053997e-05,0.00121747682173964,0.169376971690166,0.00121747682173964,0.169376971690166,0.00387812392337404,0.000215091023374038,2.78461055798537,0.00118903788193085,0.00118903788193085,0.169376971690166,0.000850795641155301,0.169716234442817,0.159949580537196,31.9066520752496
"10","Gcrew_WC_CoreC_T6_B_2ndhit",5,5.218,0.039,0.02,25.458,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.703260413484,0.0127745361351633,0.00652840327414147,0.0125239610585412,2.30219641333386e-05,0.0002505750766221,0.00650538131000813,0.0002505750766221,0.00650538131000813,0.00375593609608215,9.29031960821549e-05,1.72166255588621,0.000317635065673564,0.000317635065673564,0.00650538131000813,0.000304916195462606,0.00651841161482617,0.0573242447469698,1.22546138358732
"11","Gcrew_WC_CoreC_T6_A_2ndhit",5,5.347,0.04,0.01,10.446,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.74536861458393,0.0131020883437572,0.00326420163707074,0.0128335798735186,2.35911157955082e-05,0.000268508470238682,0.00324061052127523,0.000268508470238682,0.00324061052127523,0.00370115527978537,3.8122379785374e-05,1.76081349519004,0.000133379151417741,0.000133379151417741,0.00324061052127523,0.000127018461127567,0.00324710147712801,0.0238794706919827,0.610455077700065
"12","Gcrew_UP_CoreC_T6_B_2ndhit",5,4.388,0.035,0.008,95.065,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.43233167772476,0.0114643273007876,0.00261136130965659,0.010531840000935,1.93599805705423e-05,0.000932487299852588,0.00259200132908605,0.000932487299852588,0.00259200132908605,0.00400986273915831,0.000346829839158312,1.44564843379416,0.00099518816644887,0.00099518816644887,0.00259200132908605,0.000990989964563411,0.00259719311812919,0.186306113337921,0.488272306208287
"13","Gcrew_UP_CoreC_T6_A_2ndhit",5,4.515,0.037,0.008,113.017,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.47378703849756,0.0121194317179754,0.00261136130965659,0.0108366585242073,1.99203081759341e-05,0.00128277319376817,0.00259144100148065,0.00128277319376817,0.00259144100148065,0.00407533071866985,0.00041229781866985,1.48773569354578,0.00121738426572905,0.00121738426572905,0.00259144100148065,0.00121340960526128,0.00259663166818536,0.22812100578912,0.488166753618847
"14","Gcrew_TR_CoreC_T2_A_2ndhit",5,4.422,0.035,0.435,80.58,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,1.44342996328598,0.0114643273007876,0.141992771212577,0.0106134449599213,1.95099895357653e-05,0.00085088234086631,0.141973261223041,0.00085088234086631,0.141973261223041,0.00395703206149951,0.000293999161499513,1.5960532922864,0.000931429657097312,0.000931429657097312,0.141973261223041,0.000647846750648716,0.142257634233875,0.121795189121959,26.7444352359684
