"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","Gcrew_UP_CoreA_T0_A",5,20.288,0.149,0.01,-0.039,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,6.46693516454112,0.0475325714681208,0.00318756662428475,0.0475509461311065,8.74097397157002e-05,-1.83746629856749e-05,0.00310015688456905,-1.83746629856749e-05,0.00310015688456905,0.00366289052468406,-1.42375315937034e-07,6.51345664275541,-1.41567780871654e-06,-1.41567780871654e-06,0.00310015688456905,-7.62982792606931e-06,0.00310636651122499,-0.000286881530020206,0.11679938082206
"2","Gcrew_UP_CoreA_T0_B",5,22.136,0.163,0.011,0.675,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,7.05599747645319,0.0519987191228436,0.00350632328671323,0.0518822823126072,9.53717467639363e-05,0.000116436810236459,0.00341095153994929,0.000116436810236459,0.00341095153994929,0.00366549634375899,2.46344375898688e-06,7.10692119625731,3.52226023740965e-05,3.52226023740965e-05,0.00341095153994929,2.84222928552423e-05,0.00341778368954469,0.00106867821135711,0.12850866672688
"3","Gcrew_UP_CoreA_T1_A",5,21.992,0.163,0.012,11.826,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,7.01009651708342,0.0519987191228436,0.0038250799491417,0.0515447755971656,9.47513306303075e-05,0.000453943525678062,0.00373032861851139,0.000453943525678062,0.00373032861851139,0.00370619133768892,4.3158437688917e-05,7.0613680931168,0.000605484809353796,0.000605484809353796,0.00373032861851139,0.000598615299290702,0.00373780048167426,0.0225079352533304,0.140541298110952
"4","Gcrew_UP_CoreA_T1_B",5,15.07,0.114,0.008,29.555,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.80366290071149,0.0363672023313139,0.0025500532994278,0.0353210152896183,6.49282717624015e-05,0.00104618704169567,0.0024851250276654,0.00104618704169567,0.0024851250276654,0.00377088555625902,0.000107852656259019,4.83945974063385,0.0010364530328655,0.0010364530328655,0.0024851250276654,0.00103251031790279,0.00249010274304875,0.038822387953145,0.0936278631386331
"5","Gcrew_UP_CoreA_T2_A",5,14.313,0.11,0.009,43.864,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.5623641073579,0.0350911601442503,0.00286880996185628,0.0335467612369148,6.1666778615478e-05,0.00154439890733547,0.0028071431832408,0.00154439890733547,0.0028071431832408,0.0038230938563984,0.000160060956398398,4.59735933233463,0.00146099830484705,0.00146099830484705,0.0028071431832408,0.0014568352338081,0.00281276590227945,0.0547770047911847,0.105759997925707
"6","Gcrew_UP_CoreA_T2_B",5,15.775,0.121,0.011,41.504,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.028386347626,0.0386002761586753,0.00350632328671323,0.0369733919173011,6.79657257499591e-05,0.00162688424137419,0.00343835756096327,0.00162688424137419,0.00343835756096327,0.00381448345761237,0.00015145055761237,5.0672252563364,0.00152372216005818,0.00152372216005818,0.00343835756096327,0.00151835691825579,0.00344524460492852,0.0570902201264177,0.129541197145312
"7","Gcrew_UP_CoreA_T3_A",5,14.809,0.115,0.01,60.662,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.72046741185378,0.0366862128780798,0.00318756662428475,0.0347092843678804,6.38037675201993e-05,0.0019769285101995,0.00312376285676455,0.0019769285101995,0.00312376285676455,0.00388437662374053,0.000221343723740532,4.75727302307964,0.00209040105523002,0.00209040105523002,0.00312376285676455,0.00208623350924625,0.00313001976627734,0.0784423799476588,0.117688743212028
"8","Gcrew_UP_CoreA_T3_B",5,14.799,0.113,0.01,43.145,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.71727984523088,0.036048191784548,0.00318756662428475,0.0346858464015302,6.37606830664751e-05,0.00136234538301779,0.00312380594121828,0.00136234538301779,0.00312380594121828,0.00382047061931389,0.000157437719313887,4.75345038505386,0.00148585436581853,0.00148585436581853,0.00312380594121828,0.001481081581652,0.0031300629370294,0.0556886674701151,0.117690366432305
"9","Gcrew_UP_CoreA_T4_A",5,13.656,0.107,0.011,71.22,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.35294098023332,0.0341341285039526,0.00350632328671323,0.0320068868477125,5.88361300057966e-05,0.00212724165624008,0.00344748715670743,0.00212724165624008,0.00344748715670743,0.00392289065153687,0.000259857751536873,4.38775134725451,0.00226337019116542,0.00226337019116542,0.00344748715670743,0.00225872704201783,0.00345439248728952,0.0849281367798705,0.129885157522086
"10","Gcrew_UP_CoreA_T4_B",5,14.733,0.116,0.012,68.001,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.69624190551973,0.0370052234248458,0.0038250799491417,0.0345311558236195,6.34763256718953e-05,0.00247406760122626,0.00376160362346981,0.00247406760122626,0.00376160362346981,0.0039111485295969,0.000248115629596903,4.73401864175616,0.00233168422314422,0.00233168422314422,0.00376160362346981,0.00232647996512442,0.00376913813059286,0.0874756466886782,0.141719593710292
"11","Gcrew_UP_CoreA_T5_A",5,18.779,0.153,0.018,108.452,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.98593136114539,0.0488086136551845,0.00573761992371255,0.0440141570088747,8.09082956487152e-05,0.00479445664630981,0.00565671162806384,0.00479445664630981,0.00565671162806384,0.00405868373354169,0.000395650833541689,6.03658254903972,0.00474026736129538,0.00474026736129538,0.00565671162806384,0.00473367628958083,0.00566804204411001,0.177986228488239,0.213118380858536
"12","Gcrew_UP_CoreA_T5_B",5,15.13,0.153,0.019,376.848,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.8227883004489,0.0488086136551845,0.00605637658614103,0.0354616430877189,6.51867784847468e-05,0.0133469705674656,0.00599118980765628,0.0133469705674656,0.00599118980765628,0.00503648706677671,0.00137345416677671,4.87450058920347,0.0132736397955908,0.0132736397955908,0.00599118980765628,0.0132749203419435,0.00600319018483576,0.499137004857075,0.225719950949825
"13","Gcrew_UP_CoreA_T6_A",5,15.146,0.125,0.025,128.824,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.82788840704554,0.039876318345739,0.00796891656071188,0.0354991438338791,6.52557136107056e-05,0.00437717451185985,0.00790366084710117,0.00437717451185985,0.00790366084710117,0.00413296911229275,0.000469936212292748,4.87258927019058,0.00454422789227203,0.00454422789227203,0.00790366084710117,0.0045329376851181,0.00791949191143212,0.170438456960441,0.297772895869848
"14","Gcrew_UP_CoreA_T6_B",5,14.939,0.124,0.019,129.425,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.76190577795149,0.0395573077989731,0.00605637658614103,0.0350139779304318,6.43638654186142e-05,0.00454332986854126,0.00599201272072241,0.00454332986854126,0.00599201272072241,0.0041351604574907,0.000472127557490697,4.80441889206422,0.00450153366664871,0.00450153366664871,0.00599201272072241,0.00449403167686267,0.00600401474620006,0.168975591050036,0.225750954457122
"15","Gcrew_TR_CoreA_T0_A",5,17.032,0.13,0.007,37.722,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.42906347212463,0.0414713710795685,0.00223129663699933,0.0399195442875102,7.33814415830937e-05,0.00155182679205836,0.00215791519541623,0.00155182679205836,0.00215791519541623,0.00380068461830914,0.000137651718309143,5.46923935538063,0.00149481950733096,0.00149481950733096,0.00215791519541623,0.00149199134813772,0.00216223750819511,0.0560988746899783,0.0813001303081363
"16","Gcrew_TR_CoreA_T0_B",5,23.167,0.176,0.011,32.827,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,7.38463559527426,0.0561458562308005,0.00350632328671323,0.0542987366433037,9.98137539429035e-05,0.0018471195874968,0.00340650953277032,0.0018471195874968,0.00340650953277032,0.00378282436844114,0.000119791468441143,7.43949070449992,0.00176958965406606,0.00176958965406606,0.00340650953277032,0.00176453434951113,0.00341333278500755,0.0663464915416184,0.128341312716284
"17","Gcrew_TR_CoreA_T1_A",5,15.642,0.13,1.976,136.263,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.98599171154142,0.0414713710795685,0.629863164958667,0.0366616669648447,6.7392702515427e-05,0.00480970411472387,0.629795772256151,0.00480970411472387,0.629795772256151,0.00416009225508196,0.000497059355081959,5.65368164012437,0.00557683065384611,0.00557683065384611,0.629795772256151,0.00432029855549256,0.631057255710316,0.16244322568652,23.7277528147079
"18","Gcrew_TR_CoreA_T1_B",5,21.827,0.175,2.112,95.43,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,6.95750166780556,0.0558268456840346,0.673214071048939,0.0511580491523887,9.40404371438579e-05,0.00466879653164584,0.673120030611795,0.00466879653164584,0.673120030611795,0.00401119391960584,0.000348161019605842,7.68159111279914,0.00530831455983238,0.00530831455983238,0.673120030611795,0.00396469160256266,0.674468292728961,0.149072404256356,25.3600078066089
"19","Gcrew_WC_CoreA_T0_A",5,22.23,0.163,0.012,0.935,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,7.08596060270846,0.0519987191228436,0.0038250799491417,0.0521025991962982,9.5776740628944e-05,-0.00010388007345459,0.00372930320851276,-0.00010388007345459,0.00372930320851276,0.00366644523807588,3.4123380758806e-06,7.13718374729472,4.88181425869205e-05,4.88181425869205e-05,0.00372930320851276,4.13934635609675e-05,0.00373677301777529,0.00155639422989238,0.140502665468351
"20","Gcrew_WC_CoreA_T0_B",5,21.847,0.161,0.016,6.078,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,6.96387680105136,0.0513606980293118,0.0051001065988556,0.0512049250850889,9.41266060513063e-05,0.000155772944222858,0.00500597999280429,0.000155772944222858,0.00500597999280429,0.00368521472610984,2.21818261098429e-05,7.01581498997629,0.00030941831356085,0.00030941831356085,0.00500597999280429,0.000299696027620896,0.00501600699077886,0.0112685706385457,0.188601862853285
"21","Gcrew_WC_CoreA_T1_A",5,26.604,0.205,0.137,51.599,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,8.48020224356526,0.0653971620870119,0.0436696627527011,0.062354365677837,0.000114621880687918,0.00304279640917487,0.0435550408720132,0.00304279640917487,0.0435550408720132,0.0038513137599011,0.000188280859901103,8.58373368688254,0.00320857752713505,0.00320857752713505,0.0435550408720132,0.00312450475286487,0.043642281793318,0.117481378707719,1.64094979542876
"22","Gcrew_WC_CoreA_T1_B",5,31.3,0.235,0.096,23.852,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,9.97708352967947,0.0749674784899892,0.0306006395931336,0.0733608346758495,0.000134854340156813,0.00160664381413977,0.0304657852529768,0.00160664381413977,0.0304657852529768,0.00375007587285751,8.70429728575058e-05,10.0761552827797,0.00174177171506984,0.00174177171506984,0.0304657852529768,0.00168246161361444,0.0305268083428542,0.0632605566719029,1.14780799369132
"23","Gcrew_WC_CoreA_T2_A",5,15.736,0.124,0.134,76.557,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.01595483779668,0.0395573077989731,0.0427133927654157,0.0368819838485357,6.77976963804347e-05,0.00267532395043735,0.0426455950690352,0.00267532395043735,0.0426455950690352,0.00394235810766654,0.000279325207666541,5.09493938202328,0.00282497564445949,0.00282497564445949,0.0426455950690352,0.0027423414191739,0.0427310143667544,0.103112037360939,1.60668614018996
"24","Gcrew_WC_CoreA_T2_B",5,15.015,0.129,0.425,174.528,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.78613128428554,0.0411523605328026,0.135471581532102,0.0351921064746926,6.46913072669183e-05,0.00596025405810997,0.135406890224835,0.00596025405810997,0.135406890224835,0.00429958592561063,0.000636553025610633,4.95955428527701,0.00626408623745203,0.00626408623745203,0.135406890224835,0.00599900037250959,0.135678110768261,0.225562414006361,5.1014969648866
"25","Gcrew_WC_CoreA_T3_A",5,17.732,0.149,0.355,143.323,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.65219313572768,0.0475325714681208,0.113158615162109,0.041560201932018,7.63973533437892e-05,0.00597236953610286,0.113082217808765,0.00597236953610286,0.113082217808765,0.00418583216950148,0.000522799269501485,5.80913558650598,0.00602672893062144,0.00602672893062144,0.113082217808765,0.00580614424842592,0.113308721943931,0.218311023740815,4.2604079450918
"26","Gcrew_WC_CoreA_T3_B",5,18.742,0.146,0.193,64.998,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.97413736464066,0.0465755398278231,0.0615200358486957,0.0439274365333793,8.07488831699356e-05,0.00264810329444384,0.0614392869655258,0.00264810329444384,0.0614392869655258,0.00390019407304048,0.000237161173040475,6.07831301415445,0.0028616713259457,0.0028616713259457,0.0614392869655258,0.00274141116160076,0.0615623501033824,0.103077059676189,2.31474436388718
"27","Gcrew_WC_CoreA_T4_A",5,17.393,0.142,0.266,111.216,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.54413462721134,0.0452994976407595,0.0847892722059744,0.0407656548727492,7.49367903625381e-05,0.00453384276801026,0.0847143354156118,0.00453384276801026,0.0847143354156118,0.00406876315748893,0.000405730257488934,5.67056495807156,0.00456623255849656,0.00456623255849656,0.0847143354156118,0.00440103532472098,0.0848840185687307,0.165478928209509,3.19163909818428
"28","Gcrew_WC_CoreA_T4_B",5,16.867,0.131,0.132,60.143,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.37646862284676,0.0417903816263344,0.0420758794405587,0.0395328178427333,7.26705480966441e-05,0.00225756378360111,0.0420032088924621,0.00225756378360111,0.0420032088924621,0.003882483311437,0.000219450411436997,5.45681578179685,0.00237728584651084,0.00237728584651084,0.0420032088924621,0.00229549082904668,0.0420873414880968,0.0863104551721552,1.58248403995244
"29","Gcrew_WC_CoreA_T5_A",5,16.45,0.136,0.192,123.038,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.2435470946718,0.043385434360164,0.0612012791862672,0.0385554546459337,7.0873926376344e-05,0.00482997971423033,0.0611304052598909,0.00482997971423033,0.0611304052598909,0.00411187190793364,0.000448839007933643,5.34468506637406,0.00476085290251511,0.00476085290251511,0.0611304052598909,0.00464311282162326,0.0612528497064541,0.174581042093035,2.30310714896267
"30","Gcrew_WC_CoreA_T5_B",5,28.345,0.223,0.289,74.057,"Gcr",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,9.03515759261229,0.0711393519287983,0.0921206754418293,0.0664349156193915,0.000122122884081305,0.00470443630940684,0.091998552557748,0.00470443630940684,0.091998552557748,0.00393323910172769,0.000270206201727691,9.19248879248755,0.00493059913057643,0.00493059913057643,0.091998552557748,0.00475116901318775,0.0921828260269759,0.178643954895859,3.46607425861429
