"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","GWI_TR_CoreC_T1_B",5,16.598,0.143,1.53,176.602,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.4266222468017,0.0468329307960847,0.500224848849948,0.0399015941193284,7.33484449835246e-05,0.00693133667675631,0.500151500404965,0.00693133667675631,0.500151500404965,0.00430714550096656,0.000644112600966557,5.96896279015934,0.00762847253897229,0.00762847253897229,0.500151500404965,0.00663380203589328,0.501153305863386,0.249430956549587,18.8433643004633
"2","GWI_TR_CoreC_T1_A",5,12.149,0.107,1.194,197.838,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.97204685362055,0.0350428223439235,0.390371548710352,0.0292061975512544,5.36878092604434e-05,0.00583662479266911,0.390317860901091,0.00583662479266911,0.390317860901091,0.00438454253319613,0.000721509633196133,4.39398771428182,0.00628986940561591,0.00628986940561591,0.390317860901091,0.00551396623290779,0.391099669139702,0.207325130357333,14.7053475596528
"3","GWI_TR_CoreC_T0_B",5,13.081,0.098,0.016,25.242,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.27675898363737,0.0320952952308832,0.00523110953045698,0.0314467256702575,5.78064229924982e-05,0.000648569560625686,0.00517330310746448,0.000648569560625686,0.00517330310746448,0.00375514792561384,9.21150256138412e-05,4.31068162750547,0.00078854746098584,0.00078854746098584,0.00517330310746448,0.00077896946727501,0.00518366525430784,0.0292892519695404,0.194905813561975
"4","GWI_TR_CoreC_T0_A",5,15.433,0.12,0.021,59.255,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.04573208428068,0.0393003615072039,0.00686583125872478,0.0371009339705745,6.82001778184561e-05,0.00219942753662947,0.00679763108090633,0.00219942753662947,0.00679763108090633,0.00387924387022565,0.000216210970225649,5.08787841354833,0.00218384874566105,0.00218384874566105,0.00679763108090633,0.00217241228691512,0.00681124676318593,0.0816827019880085,0.256102878295791
"5","GWI_TR_CoreB_T1_B",5,14.073,0.124,1.944,196.355,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.60108777438489,0.0406103735574441,0.635579807950523,0.0338314937969218,6.21901835313376e-05,0.00677887976052225,0.635517617766991,0.00677887976052225,0.635517617766991,0.00437913796078272,0.000716105060782716,5.27311194767456,0.00749181261506889,0.00749181261506889,0.635517617766991,0.00622573080279479,0.63679056210063,0.234087478185084,23.9433251349837
"6","GWI_TR_CoreB_T1_A",5,15.75,0.14,1.853,213.057,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.14937344180786,0.0458504217584046,0.605827872496049,0.0378630020110509,6.96010367809683e-05,0.00798741974735375,0.605758271459268,0.00798741974735375,0.605758271459268,0.00444000251923608,0.000776969619236081,5.79647018695185,0.00893475410455798,0.00893475410455798,0.605758271459268,0.00772975458695437,0.606971607703066,0.290638772469484,22.8221324496353
"7","GWI_TR_CoreB_T0_B",5,15.702,0.115,0.009,0.801,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.1336801132233,0.0376628464444038,0.00294249911088205,0.0377476100049219,6.93889193355406e-05,-8.47635605181543e-05,0.00287311019154651,-8.47635605181543e-05,0.00287311019154651,0.00366595619276904,2.92329276904268e-06,5.17020442871554,3.03442085875585e-05,3.03442085875585e-05,0.00287311019154651,2.4616853085196e-05,0.002878865042767,0.000925593676003371,0.108245325608039
"8","GWI_TR_CoreB_T0_A",5,15.012,0.11,0.009,2.006,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.90808851482029,0.0360253313816036,0.00294249911088205,0.0360888499168188,6.63397310575172e-05,-6.35185352151485e-05,0.00287615937982453,-6.35185352151485e-05,0.00287615937982453,0.00367035393368599,7.3210336859913e-06,4.94315450593295,7.21701021283647e-05,7.21701021283647e-05,0.00287615937982453,6.64785037956756e-05,0.00288192033858135,0.0024995917427174,0.108360204730659
"9","GWI_TR_CoreA_T1_B",5,11.199,0.09,0.836,99.741,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.66144972538452,0.029475271130403,0.273325472966377,0.0269223974299529,4.94896514863533e-05,0.00255287370045004,0.273275983314891,0.00255287370045004,0.273275983314891,0.00402691616796327,0.00036388326796327,3.96112275358119,0.00286086294280852,0.00286086294280852,0.273275983314891,0.00231607995707019,0.273823356203942,0.0870846063858391,10.2957581932682
"10","GWI_TR_CoreA_T0_B",5,14.422,0.106,0.009,1.417,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.71519135096844,0.0347153193313635,0.00294249911088205,0.0346704898414842,6.37324541241349e-05,4.48294898793278e-05,0.00287876665675791,4.48294898793278e-05,0.00287876665675791,0.00366820433737449,5.17143737449295e-06,4.74910032732452,4.90694457327898e-05,4.90694457327898e-05,0.00287876665675791,4.33494986212859e-05,0.00288453283790088,0.00162994114816035,0.108458434705073
"11","GWI_TR_CoreA_T0_A",5,16.436,0.121,0.01,1.223,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.37365726282882,0.039627864519764,0.00326944345653561,0.0395121460986433,7.26325486052061e-05,0.000115718421120681,0.0031968109079304,0.000115718421120681,0.0031968109079304,0.00366749631890164,4.46341890164353e-06,5.41228211617152,4.83139124258236e-05,4.83139124258236e-05,0.0031968109079304,4.19558464345605e-05,0.00320321413298224,0.00157753982593948,0.120440851400132
"12","GWI_WC_CoreC_T0_B",5,14.114,0.126,0.113,219.663,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.61449249255087,0.0412653795825641,0.0369447110588524,0.0339300578021569,6.23713671826404e-05,0.0073353217804072,0.0368823396916698,0.0073353217804072,0.0368823396916698,0.00446407370668148,0.000801040806681483,4.688989268631,0.0074513977766742,0.0074513977766742,0.0368823396916698,0.00738494420297595,0.0369562151657862,0.277673902031896,1.38955369023356
"13","GWI_WC_CoreC_T0_A",5,13.682,0.111,0.067,107.485,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.47325253528985,0.0363528343941637,0.0219052711587886,0.0328915297469967,6.0462310173791e-05,0.00346130464716696,0.0218448088486148,0.00346130464716696,0.0218448088486148,0.00405515734565749,0.000392124445657489,4.52793083419673,0.00352391300733144,0.00352391300733144,0.0218448088486148,0.00348366331960277,0.0218885640882272,0.130985740817064,0.823010009717341
"14","GWI_WC_CoreB_T0_B",5,12.886,0.095,0.008,2.894,"GWI",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.21300483626261,0.0311127861932031,0.00261555476522849,0.0309779456453588,5.69446958704481e-05,0.000134840547844312,0.00255861006935804,0.000134840547844312,0.00255861006935804,0.00367359473368143,1.05618336814347e-05,4.24338337701164,8.92553634135214e-05,8.92553634135214e-05,0.00255861006935804,8.42172381704953e-05,0.00256373497557421,0.00316656815521062,0.0963964350815904
