"","Sample Name","Peak #","Area 28","Area 29","Area 30","Del Value","ID2","samplemass","atom15Nexcess","spikeconc","spikevol","mass15Nadded","porewaterNO3","porewatervol","massambient","tracerdilratio","Fn","Fn1","Fn2","rawN28mass","rawN29mass","rawN30mass","blank29mass","blank30mass","correct29mass","correct30mass","correct29perg","correct30perg","MF15N","MFexcess","N2Nmassnmoles","excess29Nperg","excessN29pergperlp","excessN30pergperlp","tracerdilcorrectedN29","tracerdilcorrectedN30","corrected29N2","corrected30N2"
"1","SWH_WC_CoreC_T3_B",5,9.239,0.078,0.35,145.075,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.05022637009417,0.0341740650650018,0.153434271041069,0.029781046360127,5.47445155691023e-05,0.00439301870487473,0.1533795265255,0.00439301870487473,0.1533795265255,0.00419221954559039,0.000529186645590392,4.23472007324089,0.00444698465357806,0.00444698465357806,0.1533795265255,0.00414406259700494,0.153686746331416,0.155816753647386,5.77862166206125
"2","SWH_WC_CoreC_T2_B",5,10.047,0.081,0.232,95.881,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.40444034422948,0.0354884521828864,0.101705002518651,0.0323855582617379,5.95322164652853e-05,0.00310289392114856,0.101645470302186,0.00310289392114856,0.101645470302186,0.0040128387431345,0.000349805843134504,4.53829522693448,0.00315096957553419,0.00315096957553419,0.101645470302186,0.00295042556606087,0.101849066586292,0.110936001283889,3.82952490364458
"3","SWH_WC_CoreC_T1_B",5,10.291,0.084,0.274,113.815,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.51140595028024,0.0368028393007711,0.12011711504358,0.0331720692815313,6.09780073299742e-05,0.00363077001923987,0.12005613703625,0.00363077001923987,0.12005613703625,0.00407824069309989,0.000415207793099889,4.66489438915302,0.00384411755659939,0.00384411755659939,0.12005613703625,0.00360737230220243,0.120296609959559,0.135637198562811,4.52315253447941
"4","SWH_WC_CoreC_T0_B",5,8.61,0.063,0.005,2.579,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.77448306597151,0.0276021294755783,0.00219191815772956,0.0277535241000859,5.10174563318509e-05,-0.000151394624507563,0.00214090070139771,-0.000151394624507563,0.00214090070139771,0.00367244512798785,9.41222798785417e-06,3.80147934163488,7.12841528023728e-05,7.12841528023728e-05,0.00214090070139771,6.70651304425302e-05,0.00214518893407693,0.00252164890463913,0.0806591039212924
"5","SWH_WC_CoreB_T3_B",5,9.108,0.092,0.682,368.842,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.99279811438659,0.0403078716151303,0.298977636714312,0.0293587801978609,5.39682917851914e-05,0.0109490914172694,0.298923668422526,0.0109490914172694,0.298923668422526,0.00500734789629703,0.00134431499629703,4.32890284098132,0.0115381877841405,0.0115381877841405,0.298923668422526,0.0109506926942071,0.299522413727568,0.411746045302187,11.2620427561565
"6","SWH_WC_CoreB_T2_B",5,9.144,0.092,0.586,371.022,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.00857992511539,0.0403078716151303,0.256892808085904,0.0294748228073386,5.4181605191457e-05,0.0108330488077917,0.256838626480713,0.0108330488077917,0.256838626480713,0.00501528253849634,0.00135224963849634,4.30261927789097,0.0115357271480685,0.0115357271480685,0.256838626480713,0.0110325682719347,0.257353075278194,0.414824567024745,9.67647563046008
"7","SWH_WC_CoreC_T3_A",5,11.022,0.098,0.631,210.655,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.83186438480116,0.0429366458508997,0.27662007150547,0.0355283789350926,6.53094545516447e-05,0.00740826691580709,0.276554762050918,0.00740826691580709,0.276554762050918,0.0044312497341009,0.000768216834100901,5.14763583124585,0.00784531954630289,0.00784531954630289,0.276554762050918,0.00729895531432816,0.27710870234691,0.274440719818739,10.4192872082438
"8","SWH_WC_CoreC_T2_A",5,51.286,0.386,0.431,25.356,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,22.4829429177021,0.169117809167829,0.188943345196288,0.165315590824275,0.000303888648714902,0.00380221834355443,0.188639456547573,0.00380221834355443,0.188639456547573,0.00375556390462753,9.25310046275252e-05,22.8242081282787,0.00419404928112682,0.00419404928112682,0.188639456547573,0.00382021292438645,0.18901730213454,0.14364000595693,7.1070505602587
"9","SWH_WC_CoreC_T1_A",5,11.897,0.09,0.087,33.427,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.21545006223729,0.0394316135365405,0.0381393759444943,0.0383488590265647,7.04941553983775e-05,0.00108275450997578,0.0380688817890959,0.00108275450997578,0.0380688817890959,0.00378501360613152,0.000121980706131524,5.28912901254893,0.00128107832106208,0.00128107832106208,0.0380688817890959,0.00120607041392027,0.0381451339117856,0.045348247563402,1.43425703508314
"10","SWH_WC_CoreC_T0_A",5,8.004,0.059,0.006,-0.092,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.50882258537003,0.0258496133183988,0.00263030178927547,0.0258001401738778,4.74266806597137e-05,4.94731445209937e-05,0.00258287510861575,4.94731445209937e-05,0.00258287510861575,0.0036626970949936,-3.3580500640373e-07,3.53470117626779,-2.12567042943979e-06,-2.12567042943979e-06,0.00258287510861575,-7.30389546327224e-06,0.00258804861780274,-0.000274626469419036,0.0973106280293831
"11","SWH_WC_CoreB_T3_A",5,8.933,0.101,1.076,545.678,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.91608097889936,0.0442510329687843,0.471700787543401,0.0287946841795665,5.29313516158449e-05,0.0154563487892178,0.471647856191785,0.0154563487892178,0.471647856191785,0.00565057472979795,0.00198754182979795,4.42878038072467,0.0174410978585055,0.0174410978585055,0.471647856191785,0.0165133712774472,0.472592568736689,0.620902760032013,17.7694805844995
"12","SWH_WC_CoreB_T2_A",5,9.957,0.089,0.5,210.378,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.36498581740747,0.0389934844972456,0.219191815772956,0.0320954517380436,5.89989329496213e-05,0.006898032759202,0.219132816840006,0.006898032759202,0.219132816840006,0.00443024034806568,0.000767207448065682,4.61977427251457,0.00703158182954509,0.00703158182954509,0.219132816840006,0.00659947696849562,0.219571740749765,0.248140334015435,8.25589745219116
"13","SWH_WC_CoreB_T1_B",5,10.017,0.085,0.336,160.129,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.39128883528881,0.037240968340066,0.147296900199426,0.0322888560871731,5.93544552933973e-05,0.0049521122528929,0.147237545744133,0.0049521122528929,0.147237545744133,0.00424709947920157,0.000584066579201571,4.57246385895194,0.00529929534512843,0.00529929534512843,0.147237545744133,0.00500953501879765,0.147532463137946,0.188358516706792,5.54722061398675
"14","SWH_WC_CoreB_T1_A",5,9.613,0.08,0.325,136.156,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.21418184822115,0.0350503231435915,0.142474680252421,0.0309866001363677,5.69606048453058e-05,0.00406372300722386,0.142417719647576,0.00406372300722386,0.142417719647576,0.004159702135661,0.000496669235660998,4.38847891731946,0.00432543036747782,0.00432543036747782,0.142417719647576,0.00404435416178464,0.142702982910414,0.152067716483102,5.36563215743156
"15","SWH_WC_CoreB_T0_B",5,7.743,0.057,0.004,-0.953,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.39440445758623,0.024973355239809,0.00175353452618365,0.0249588312551644,4.58801584642882e-05,1.45239846446113e-05,0.00170765436771936,1.45239846446113e-05,0.00170765436771936,0.00365955476440715,-3.47813559284631e-06,3.41861543928539,-2.33833820226272e-05,-2.33833820226272e-05,0.00170765436771936,-2.68289384239523e-05,0.00171107480625706,-0.00100876808474061,0.0643364127152656
"16","SWH_WC_CoreB_T0_A",5,8.691,0.064,0.007,4.574,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.80999214011131,0.0280402585148732,0.00306868542082138,0.0280146199714108,5.14974114959485e-05,2.56385434624744e-05,0.00301718800932543,2.56385434624744e-05,0.00301718800932543,0.00367972591924245,1.66930192424526e-05,3.83827632996138,0.000127454612934452,0.000127454612934452,0.00301718800932543,0.000121535732231599,0.00302323144899197,0.00456974353190811,0.113673502482098
"17","SWH_WC_CoreA_T3_B",5,8.911,0.11,1.263,687.839,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.90643653900954,0.0481941943224384,0.553678526642486,0.0287237692515523,5.2800993423127e-05,0.0194704250708861,0.553625725649063,0.0194704250708861,0.553625725649063,0.00616707130871026,0.00250403840871026,4.50500271368669,0.0223399130006778,0.0223399130006778,0.553625725649063,0.0212528059955643,0.554734640194812,0.799105505433217,20.8580224713249
"18","SWH_WC_CoreA_T3_A",5,9,0.092,0.883,384.126,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.94545268220019,0.0403078716151303,0.38709274665504,0.0290106523694278,5.33283515663947e-05,0.0112972192457025,0.387039418303473,0.0112972192457025,0.387039418303473,0.00506297507904916,0.00139994217904916,4.36964236377137,0.0121280204346784,0.0121280204346784,0.387039418303473,0.0113645312756569,0.38781465980843,0.427306375964699,14.581831208797
"19","SWH_WC_CoreA_T2_B",5,8.889,0.079,0.475,208.477,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.89679209911972,0.0346121941042967,0.208232224984308,0.0286528543235382,5.26706352304091e-05,0.00595933978075848,0.208179554349077,0.00595933978075848,0.208179554349077,0.00442331306232575,0.000760280162325746,4.1365947710369,0.0062393494356884,0.0062393494356884,0.208179554349077,0.00582840195305878,0.208596538830199,0.21914791343501,7.84322986001548
"20","SWH_WC_CoreA_T2_A",5,9.678,0.094,0.721,328.57,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.24267678425927,0.0411841296937201,0.316074598344602,0.0311961215145913,5.73457540510631e-05,0.00998800817912873,0.316017252590551,0.00998800817912873,0.316017252590551,0.00486074535456457,0.00119771245456457,4.5965571251181,0.0109171548428266,0.0109171548428266,0.316017252590551,0.0102947824529262,0.316650236413141,0.387083820230025,11.9060488891341
"21","SWH_WC_CoreA_T1_B",5,9.356,0.082,0.413,192.048,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.10151725496277,0.0359265812221813,0.181052439828461,0.0301581848409296,5.54377841394654e-05,0.00576839638125175,0.180997002044322,0.00576839638125175,0.180997002044322,0.00436344140870655,0.00070040850870655,4.31532300005131,0.00599673990238143,0.00599673990238143,0.180997002044322,0.00564002356549789,0.181359539764311,0.212064886062721,6.81911869513808
"22","SWH_WC_CoreA_T1_A",5,10.155,0.094,0.591,258.981,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.45178577641588,0.0411841296937201,0.259084726243634,0.032733686090171,6.0172156684082e-05,0.00845044360354907,0.259024554086949,0.00845044360354907,0.259024554086949,0.00460731801325056,0.000944285113250562,4.74856373165731,0.00889413777409652,0.00889413777409652,0.259024554086949,0.00838395405229914,0.25954338130618,0.315236672366448,9.75883113711239
"23","SWH_WC_CoreA_T0_B",5,11.525,0.085,0.01,3.916,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,5.05237135137302,0.037240968340066,0.00438383631545911,0.0371497520619617,6.82899168669665e-05,9.12162781043363e-05,0.00431554639859215,9.12162781043363e-05,0.00431554639859215,0.00367732454722078,1.42916472207822e-05,5.09025005183191,0.000144760607197258,0.000144760607197258,0.00431554639859215,0.000136257131799345,0.00432419045531232,0.00512326815565537,0.162589561119743
"24","SWH_WC_CoreA_T0_A",5,7.693,0.057,0.005,0.7,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,3.37248527601845,0.024973355239809,0.00219191815772956,0.0247976609642231,4.55838898444749e-05,0.000175694275585878,0.00214633426788508,0.000175694275585878,0.00214633426788508,0.00366558758367569,2.55468367568994e-06,3.39715052942827,1.74519799100749e-05,1.74519799100749e-05,0.00214633426788508,1.31681825913954e-05,0.00215063338401974,0.000495123665436468,0.0808638152391421
"25","SWH_TR_CoreC_T3_B",5,10.176,0.178,1.277,1384.071,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,4.46099183267434,0.0779869689944912,0.559815897484129,0.0328013776123663,6.02965895044036e-05,0.0451855913821249,0.559755600894624,0.0451855913821249,0.559755600894624,0.00868887868803714,0.00502584578803714,5.09506870506515,0.0505818004505675,0.0505818004505675,0.559755600894624,0.049510679296241,0.560876793605041,1.86160154153866,21.0889674395495
"26","SWH_TR_CoreC_T3_A",5,21.024,0.274,1.235,773.513,"SWH",1,99.9,1,0.1,100,0,0,0,99.9,0.999,1.001001001001,1.00200300400501,9.21657746561964,0.120047356766801,0.5414037849592,0.0677688839349833,0.000124575029259098,0.0522784728318178,0.541279209929941,0.0522784728318178,0.541279209929941,0.00647808137740596,0.00281504847740596,9.87079211858249,0.0550105840051606,0.0550105840051606,0.541279209929941,0.0539809228661051,0.542363394355257,2.02968269976555,20.3928636277577
