,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,GWI_WC_CoreC_T3_B,1.079095938,39.22317238,799.207
2,GWI_WC_CoreC_T3_A,1.235947508,40.6271442,850.303
3,GWI_WC_CoreC_T2_B,0.741973345,34.92035439,617.847
4,GWI_WC_CoreC_T2_A,0.451006671,24.32132587,397.514
5,GWI_WC_CoreB_T3_B,0.550352086,38.31743345,461.954
6,GWI_WC_CoreB_T3_A,0.932507048,42.84686586,718.42
7,GWI_WC_CoreB_T2_B,0.788558209,43.16373202,573.019
8,GWI_WC_CoreB_T2_A,0.810189517,41.30685523,638.232
9,GWI_WC_CoreA_T3_B,1.027727261,40.21752475,425.107
10,GWI_WC_CoreA_T3_A,0.971303802,35.32769821,702.152
11,GWI_WC_CoreA_T2_B,0.463062609,23.1433287,356.953
12,GWI_WC_CoreA_T2_A,0.687962705,34.64814942,489.397
13,GWI_TR_CoreC_T3_B,0.134405345,17.84373087,117.826
14,GWI_TR_CoreC_T3_A,0.174396086,17.4361489,149.265
15,GWI_TR_CoreC_T2_B,0.201739679,18.07015428,161.542
16,GWI_TR_CoreC_T2_A,0.158148776,14.03913229,140.532
17,GWI_TR_CoreB_T3_B,0.13842718,22.37361266,145.154
18,GWI_TR_CoreB_T3_A,0.272254241,24.81911183,213.554
19,GWI_TR_CoreB_T2_B,0.297517222,27.94429448,218.576
20,GWI_TR_CoreB_T2_A,0.278421176,27.03832963,201.861
21,GWI_TR_CoreA_T3_B,0.281183064,39.94792724,251.694
22,GWI_TR_CoreA_T3_A,0.320391591,40.989495,258.398
23,GWI_TR_CoreA_T2_B,0.29525935,35.19141879,215.499
24,GWI_TR_CoreA_T2_A,0.192549859,26.40438731,159.052
25,MSM_TR_CoreC_T3_B,1.331117789,49.68579904,802.05
26,MSM_TR_CoreC_T3_A,0.954291725,49.41377957,549.243
27,MSM_TR_CoreC_T2_B,1.244698967,46.56017437,699.448
28,MSM_TR_CoreC_T2_A,1.161021877,41.53257029,687.409
29,MSM_TR_CoreA_T3_A,0.753586753,35.68961065,477.58
30,MSM_TR_CoreA_T2_B,0.442733893,19.33821524,303.46
31,MSM_TR_CoreA_T2_A,0.747534735,36.00653069,453.444
32,Gcrew_TR_CoreC_T3_B,0.156527364,34.04457532,23.656
33,Gcrew_TR_CoreC_T3_A,0.106111097,15.80454208,71.531
34,Gcrew_TR_CoreC_T2_B,0.121388947,25.72371815,78.201
35,Gcrew_TR_CoreC_T2_A,0.147320009,24.6827314,110.888
36,Gcrew_TR_CoreB_T6_B,0.320385221,50.40904905,163.145
37,Gcrew_TR_CoreB_T6_A,0.309976694,48.41703647,198.507
38,Gcrew_TR_CoreB_T5_B,0.26549485,47.23868176,149.212
39,Gcrew_TR_CoreB_T5_A,0.13347484,25.99604496,97.045
40,Gcrew_TR_CoreB_T4_B,0.258310503,48.46144726,140.599
41,Gcrew_TR_CoreB_T4_A,0.244461235,48.41483063,105.364
42,Gcrew_TR_CoreB_T3_B,0.260802084,47.14786432,140.091
43,Gcrew_TR_CoreB_T3_A,0.256294259,45.83507544,164.572
44,Gcrew_TR_CoreB_T2_B,0.224351322,39.81034807,129.476
