,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,Gcrew_UP_CoreA_T0_A,-0.000286882,0.116799381,-0.039
2,Gcrew_UP_CoreA_T0_B,0.001068678,0.128508667,0.675
3,Gcrew_UP_CoreA_T1_A,0.022507935,0.140541298,11.826
4,Gcrew_UP_CoreA_T1_B,0.038822388,0.093627863,29.555
5,Gcrew_UP_CoreA_T2_A,0.054777005,0.105759998,43.864
6,Gcrew_UP_CoreA_T2_B,0.05709022,0.129541197,41.504
7,Gcrew_UP_CoreA_T3_A,0.07844238,0.117688743,60.662
8,Gcrew_UP_CoreA_T3_B,0.055688667,0.117690366,43.145
9,Gcrew_UP_CoreA_T4_A,0.084928137,0.129885158,71.22
10,Gcrew_UP_CoreA_T4_B,0.087475647,0.141719594,68.001
11,Gcrew_UP_CoreA_T5_A,0.177986228,0.213118381,108.452
12,Gcrew_UP_CoreA_T5_B,0.499137005,0.225719951,376.848
13,Gcrew_UP_CoreA_T6_A,0.170438457,0.297772896,128.824
14,Gcrew_UP_CoreA_T6_B,0.168975591,0.225750954,129.425
15,Gcrew_TR_CoreA_T0_A,0.056098875,0.08130013,37.722
16,Gcrew_TR_CoreA_T0_B,0.066346492,0.128341313,32.827
17,Gcrew_TR_CoreA_T1_A,0.162443226,23.72775281,136.263
18,Gcrew_TR_CoreA_T1_B,0.149072404,25.36000781,95.43
19,Gcrew_WC_CoreA_T0_A,0.001556394,0.140502665,0.935
20,Gcrew_WC_CoreA_T0_B,0.011268571,0.188601863,6.078
21,Gcrew_WC_CoreA_T1_A,0.117481379,1.640949795,51.599
22,Gcrew_WC_CoreA_T1_B,0.063260557,1.147807994,23.852
23,Gcrew_WC_CoreA_T2_A,0.103112037,1.60668614,76.557
24,Gcrew_WC_CoreA_T2_B,0.225562414,5.101496965,174.528
25,Gcrew_WC_CoreA_T3_A,0.218311024,4.260407945,143.323
26,Gcrew_WC_CoreA_T3_B,0.10307706,2.314744364,64.998
27,Gcrew_WC_CoreA_T4_A,0.165478928,3.191639098,111.216
28,Gcrew_WC_CoreA_T4_B,0.086310455,1.58248404,60.143
29,Gcrew_WC_CoreA_T5_A,0.174581042,2.303107149,123.038
30,Gcrew_WC_CoreA_T5_B,0.178643955,3.466074259,74.057
31,Gcrew_TR_CoreB_T0_A,0.236226875,0.140937039,138.123
32,Gcrew_TR_CoreB_T0_B,0.172814966,0.116766105,96.438
33,Gcrew_TR_CoreB_T1_A,0.317233068,18.35965941,239.558
34,Gcrew_TR_CoreB_T1_B,0.234824194,25.02478617,186.002
