,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,GWI_UP_CoreC_T6_B,0.040742028,1.784578499,54.203
2,GWI_UP_CoreC_T6_A,0.042956302,2.277281394,57.623
3,GWI_UP_CoreC_T5_B,0.037143129,1.760026117,52.636
4,GWI_UP_CoreC_T5_A,0.05037176,1.242635316,66.602
5,GWI_UP_CoreC_T4_B,0.027153609,0.811399868,33.75
6,GWI_UP_CoreC_T4_A,0.028103346,0.934595321,35.525
7,GWI_UP_CoreC_T3_B,0.011495361,0.454230302,15.013
8,GWI_UP_CoreC_T3_A,0.018629047,0.208178206,28.811
9,GWI_UP_CoreC_T2_B,0.003640684,0.220181434,4.905
10,GWI_UP_CoreC_T2_A,0.006125804,0.15887332,9.483
11,GWI_UP_CoreC_T1_B,0.004403364,0.12140517,4.85
12,GWI_UP_CoreC_T1_A,0.003366097,0.084548377,3.902
13,GWI_UP_CoreC_T0_B,0.000877002,0.071990399,0.979
14,GWI_UP_CoreC_T0_A,-0.000417214,0.07197991,-0.272
15,GWI_UP_CoreB_T6_B,0.126486974,4.100285701,158.775
16,GWI_UP_CoreB_T6_A,0.218028537,13.54793674,260.096
17,GWI_UP_CoreB_T5_B,0.046162276,2.412804733,62.931
18,GWI_UP_CoreB_T5_A,0.183816489,14.76754907,246.198
19,GWI_UP_CoreB_T4_B,0.027168579,0.614488165,37.443
20,GWI_UP_CoreB_T4_A,0.087320697,4.248127104,114.903
21,GWI_UP_CoreB_T3_B,0.010260459,0.207839729,12.65
22,GWI_UP_CoreB_T3_A,0.021602289,0.527929237,24.145
23,GWI_UP_CoreB_T2_B,0.029606119,0.220120831,34.8
24,GWI_UP_CoreB_T2_A,0.008043265,0.183124519,9.481
25,GWI_UP_CoreB_T1_B,0.004288676,0.121383027,4.672
26,GWI_UP_CoreB_T1_A,0.003994198,0.084451812,4.346
27,GWI_UP_CoreB_T0_B,0.001807861,0.071977246,1.867
28,GWI_UP_CoreB_T0_A,0.001422511,0.072058661,1.563
29,GWI_UP_CoreA_T6_B,0.320393213,23.93178742,362.741
30,GWI_UP_CoreA_T6_A,0.253810477,15.62959891,292.107
31,GWI_UP_CoreA_T5_B,0.092088971,6.20647544,111.157
32,GWI_UP_CoreA_T5_A,0.107743221,3.866297936,140.806
33,GWI_UP_CoreA_T4_B,0.083739672,1.944638237,102.278
34,GWI_UP_CoreA_T4_A,0.06114024,1.612087649,76.694
35,GWI_UP_CoreA_T3_B,0.01562868,0.318656349,18.746
36,GWI_UP_CoreA_T3_A,0.017419725,0.306333291,20.717
37,GWI_UP_CoreA_T2_B,0.019538195,0.293731859,19.666
38,GWI_UP_CoreA_T2_A,0.02134371,0.306141659,22.548
39,GWI_UP_CoreA_T1_B,0.009867554,0.146034304,10.577
40,GWI_UP_CoreA_T1_A,0.022178366,0.182956196,23.068
41,GWI_UP_CoreA_T0_B,0.005064024,0.072007714,5.077
42,GWI_UP_CoreA_T0_A,0.003343316,0.084200743,3.209
