,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,MSM_UP_CoreC_T6_A,0.114348336,17.17865955,64.111
2,MSM_UP_CoreC_T5_B,0.069085805,9.477100912,60.555
3,MSM_UP_CoreC_T5_A,0.144832403,20.64028492,110.137
4,MSM_UP_CoreC_T4_B,0.015609444,1.72120508,14.752
5,MSM_UP_CoreC_T4_A,0.011635219,1.203952391,10.139
6,MSM_UP_CoreC_T3_B,0.002910795,0.461789197,3.143
7,MSM_UP_CoreC_T3_A,0.017752126,0.687304158,16.606
8,MSM_UP_CoreC_T2_B,0.013602804,0.593677587,9.283
9,MSM_UP_CoreC_T1_B,0.008563653,0.223143729,7.42
10,MSM_UP_CoreC_T1_A,0.007613179,0.169945738,6.103
11,MSM_UP_CoreC_T0_B,0.003761993,0.156006301,2.433
12,MSM_UP_CoreC_T0_A,0.001326934,0.182041162,0.868
13,MSM_UP_CoreB_T6_B,0.015558176,1.376693896,15.534
14,MSM_UP_CoreB_T6_A,0.028643922,2.265096907,29.307
15,MSM_UP_CoreB_T5_B,0.009966059,1.243312017,7.736
16,MSM_UP_CoreB_T5_A,0.00349583,0.964900666,3.384
17,MSM_UP_CoreB_T4_B,0.00241358,0.647355846,2.971
18,MSM_UP_CoreB_T4_A,0.003827889,0.70044273,4.292
19,MSM_UP_CoreB_T3_B,-0.004112786,0.170067418,-3.062
20,MSM_UP_CoreB_T3_A,0.003205844,0.261925062,2.124
21,MSM_UP_CoreB_T2_A,0.002004074,0.381475565,1.691
22,MSM_UP_CoreB_T1_B,-0.00156268,0.143574153,-1.052
23,MSM_UP_CoreB_T1_A,0.006812475,0.170073152,5.794
24,MSM_UP_CoreB_T0_B,0.004170107,0.182149222,2.416
25,MSM_UP_CoreB_T0_A,0.004246423,0.130029324,3.263
26,MSM_UP_CoreA_T6_B,0.09613731,7.767138243,89.354
27,MSM_UP_CoreA_T5_B,0.117445571,15.86797625,115.385
28,MSM_UP_CoreA_T5_A,4.488774985,17.38965705,60.795
29,MSM_UP_CoreA_T4_B,0.120603467,21.72797736,115.461
30,MSM_UP_CoreA_T4_A,0.161520093,26.11605109,127.421
31,MSM_UP_CoreA_T3_B,-0.007891071,0.103693401,-6.013
32,MSM_UP_CoreA_T3_A,0.071911475,7.117490015,69.413
33,MSM_UP_CoreA_T2_B,0.039875659,0.646994212,28.596
34,MSM_UP_CoreA_T2_A,0.03641881,0.977840321,21.66
35,MSM_UP_CoreA_T1_B,0.032957734,0.315809943,26.033
36,MSM_UP_CoreA_T1_A,0.02837142,0.249684124,24.048
37,MSM_UP_CoreA_T0_B,0.024233868,0.103634622,18.629
38,MSM_UP_CoreA_T0_A,0.028708528,0.103563299,21.412
