,Sample Name,Corrected 29N2 g-1,Corrected 30N2 g-1,Del Value
1,SWH_WC_CoreC_T3_B,0.155816754,5.778621662,145.075
2,SWH_WC_CoreC_T2_B,0.110936001,3.829524904,95.881
3,SWH_WC_CoreC_T1_B,0.135637199,4.523152534,113.815
4,SWH_WC_CoreC_T0_B,0.002521649,0.080659104,2.579
5,SWH_WC_CoreB_T3_B,0.411746045,11.26204276,368.842
6,SWH_WC_CoreB_T2_B,0.414824567,9.67647563,371.022
7,SWH_WC_CoreC_T3_A,0.27444072,10.41928721,210.655
8,SWH_WC_CoreC_T2_A,0.143640006,7.10705056,25.356
9,SWH_WC_CoreC_T1_A,0.045348248,1.434257035,33.427
10,SWH_WC_CoreC_T0_A,-0.000274626,0.097310628,-0.092
11,SWH_WC_CoreB_T3_A,0.62090276,17.76948058,545.678
12,SWH_WC_CoreB_T2_A,0.248140334,8.255897452,210.378
13,SWH_WC_CoreB_T1_B,0.188358517,5.547220614,160.129
14,SWH_WC_CoreB_T1_A,0.152067716,5.365632157,136.156
15,SWH_WC_CoreB_T0_B,-0.001008768,0.064336413,-0.953
16,SWH_WC_CoreB_T0_A,0.004569744,0.113673502,4.574
17,SWH_WC_CoreA_T3_B,0.799105505,20.85802247,687.839
18,SWH_WC_CoreA_T3_A,0.427306376,14.58183121,384.126
19,SWH_WC_CoreA_T2_B,0.219147913,7.84322986,208.477
20,SWH_WC_CoreA_T2_A,0.38708382,11.90604889,328.57
21,SWH_WC_CoreA_T1_B,0.212064886,6.819118695,192.048
22,SWH_WC_CoreA_T1_A,0.315236672,9.758831137,258.981
23,SWH_WC_CoreA_T0_B,0.005123268,0.162589561,3.916
24,SWH_WC_CoreA_T0_A,0.000495124,0.080863815,0.7
25,SWH_TR_CoreC_T3_B,1.861601542,21.08896744,1384.071
26,SWH_TR_CoreC_T3_A,2.0296827,20.39286363,773.513
27,SWH_TR_CoreC_T2_B,1.950314561,16.94323078,1385.379
28,SWH_TR_CoreC_T2_A,1.118793227,16.95991334,858.132
29,SWH_TR_CoreC_T1_B,1.266437495,9.659467145,895.918
30,SWH_TR_CoreC_T1_A,1.016540767,5.959746895,707.802
31,SWH_TR_CoreC_T0_B,-0.001226818,0.080492343,-0.955
32,SWH_TR_CoreC_T0_A,0.001082753,0.080529625,1.115
33,SWH_TR_CoreB_T3_B,2.565498072,25.64763221,1999.176
34,SWH_TR_CoreB_T3_A,2.366517966,23.59953355,1800.871
35,SWH_TR_CoreB_T2_B,2.280824285,19.8999823,1831.358
36,SWH_TR_CoreB_T2_A,2.484953824,21.98042853,1574.791
37,SWH_TR_CoreB_T1_B,2.199960065,18.89224494,1606.171
38,SWH_TR_CoreB_T1_A,1.687951545,12.94629656,1219.015
39,SWH_TR_CoreB_T0_B,0.028888395,0.130390882,31.053
40,SWH_TR_CoreB_T0_A,0.000211105,0.080748847,0.368
41,SWH_TR_CoreA_T3_B,2.003202442,26.17626576,1641.928
42,SWH_TR_CoreA_T3_A,2.738828165,34.3187471,2122.529
43,SWH_TR_CoreA_T2_B,2.038070237,24.75568892,1559.186
44,SWH_TR_CoreA_T2_A,2.769360325,27.20022177,2196.146
45,SWH_TR_CoreA_T1_B,2.266371434,20.56077903,1935.056
46,SWH_TR_CoreA_T1_A,1.821984876,21.22132105,1484.752
47,SWH_TR_CoreA_T0_B,-0.002177873,0.064410975,-2.306
48,SWH_TR_CoreA_T0_A,0.010502542,0.080903552,11.775
49,SWH_UP_CoreC_T3_B,0.291466064,27.97660585,282.646
50,SWH_UP_CoreC_T3_A,0.344694806,33.27826458,317.13
51,SWH_UP_CoreC_T2_B,0.367490739,29.94183554,315.941
52,SWH_UP_CoreC_T2_A,0.264635618,14.28469024,265.439
53,SWH_UP_CoreC_T1_B,0.243761009,8.091182421,255.979
54,SWH_UP_CoreC_T1_A,0.271391405,18.8592647,226.227
55,SWH_UP_CoreC_T0_B,0.115029787,0.064359183,125.165
56,SWH_UP_CoreC_T0_A,0.122630231,0.064421467,138.47
57,SWH_UP_CoreB_T3_B,0.580821438,22.45973169,437.081
58,SWH_UP_CoreB_T3_A,0.552415494,21.9974013,438.097
59,SWH_UP_CoreB_T2_B,0.469959743,10.13791551,284.907
60,SWH_UP_CoreB_T2_A,0.511150104,12.96226854,315.899
61,SWH_UP_CoreB_T1_B,0.377217938,3.383028979,250.311
62,SWH_UP_CoreB_T1_A,0.32725977,5.117251645,219.545
63,SWH_UP_CoreB_T0_B,0.118934683,0.129176455,74.813
64,SWH_UP_CoreB_T0_A,0.125130273,0.129018625,74.709
65,SWH_UP_CoreA_T3_B,0.407745475,30.73437198,315.005
66,SWH_UP_CoreA_T3_A,0.46239934,35.01178739,317.462
67,SWH_UP_CoreA_T2_B,0.31366482,17.50425478,202.455
68,SWH_UP_CoreA_T2_A,0.24176112,13.21032536,174.913
69,SWH_UP_CoreA_T1_B,0.208181348,5.134041578,157.185
70,SWH_UP_CoreA_T0_B,0.198302025,0.080610214,186.676
71,SWH_UP_CoreA_T0_A,0.086115743,0.080687009,84.432
72,SWH_UP_CoreA_T1_A,0.247639098,5.810825698,161.993
