Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,84.089,4323,0.617,3173,0.043,813,0.165,0.366532,84.749,160231,84089,13.4,61716,14.5,14426,711.0,0.733941,0.165,0.165,0.1715626,,
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.12,4329,0.617,3177,0.041,775,0.081,0.366502,84.779,159644,84120,13.5,61734,14.7,13791,808.1,0.7338794,0.081,0.081,0.1639389,,
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.158,4327,0.618,3175,0.041,766,0,0.366472,84.817,159593,84158,13.5,61757,14.8,13678,842.5,0.7338198,0,0,0.1625265,,
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.145,4321,0.617,3171,0.041,764,-0.001,0.366472,84.804,159555,84145,13.5,61747,14.7,13663,861.5,0.7338192,-0.001,-0.001,0.1623701,,
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.5,5,17.998,3066,0.132,2248,0.009,405,0.83,0.366775,18.139,34233,17998,13.1,13218,14.4,3016,802.1,0.7344288,0.83,0.83,0.1675871,,
119,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.3,6,16.699,2849,0.123,2086,0.009,369,0.997,0.366836,16.831,31801,16699,14.6,12267,15.2,2835,743.1,0.7345514,0.997,0.997,0.1697592,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.059,4321,0.617,3171,0.043,807,0.166,0.366533,84.719,160027,84059,13.4,61695,14.7,14273,699.0,0.7339466,0.166,0.166,0.1697972,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.18,4333,0.618,3179,0.041,769,0.104,0.36651,84.839,159660,84180,13.6,61780,14.9,13700,796.5,0.7339013,0.104,0.104,0.162745,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.129,4324,0.617,3173,0.041,759,0,0.366472,84.787,159428,84129,13.7,61736,15.0,13563,832.2,0.733825,0,0,0.1612132,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,153.4,4,84.154,4322,0.618,3172,0.041,759,0.005,0.366474,84.812,159453,84154,13.6,61754,14.9,13545,851.4,0.7338286,0.005,0.005,0.160952,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,351.5,5,17.207,2942,0.126,2155,0.009,386,0.799,0.366764,17.342,32701,17207,13.3,12637,14.7,2857,794.4,0.7344111,0.799,0.799,0.1660615,,
118,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,416.1,6,15.945,2729,0.117,2000,0.008,351,0.933,0.366813,16.07,30339,15945,14.6,11712,15.3,2682,738.3,0.7345093,0.933,0.933,0.1681956,,
117,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,84.089,4327,0.617,3176,0.043,802,0.159,0.36653,84.749,160027,84089,13.5,61718,14.7,14221,685.8,0.7339523,0.159,0.159,0.169114,,
117,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.168,4326,0.618,3174,0.041,764,0.096,0.366507,84.827,159551,84168,13.6,61772,14.9,13611,783.3,0.733906,0.096,0.096,0.1617129,,
117,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.216,4331,0.618,3178,0.041,757,0,0.366472,84.874,159557,84216,13.6,61800,14.9,13541,819.2,0.7338353,0,0,0.1607881,,
