Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,85.234,4384,0.625,3215,0.053,991,-0.139,0.366421,85.912,165377,85234,48.5,62527,73.3,17616,701.6,0.7335964,-0.139,-0.139,0.2066756,,
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.277,4380,0.626,3212,0.051,949,-0.094,0.366438,85.954,164829,85277,48.4,62562,68.2,16989,810.9,0.7336297,-0.094,-0.094,0.1992257,,
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.275,4382,0.626,3215,0.051,943,0,0.366472,85.951,164732,85275,48.2,62566,64.3,16892,852.5,0.7336988,0,0,0.1980841,,
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.27,4384,0.626,3216,0.051,943,0.106,0.366511,85.946,164739,85270,48.0,62569,61.5,16900,878.7,0.7337766,0.106,0.106,0.1981994,,
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.4,5,19.369,1434,0.148,1094,0.106,2596,38.844,0.380653,19.622,69456,19369,44.9,14763,53.2,35325,703.1,0.7621983,38.844,38.844,1.8238088,,
12,Gcrew_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413,6,17.658,1306,0.135,996,0.096,2363,38.454,0.380511,17.889,63275,17658,47.2,13454,54.5,32163,688.4,0.7619122,38.454,38.454,1.8214824,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,85.36,4390,0.627,3222,0.053,1004,0.137,0.366522,86.04,165847,85360,52.4,62659,61.3,17827,697.6,0.7340597,0.137,0.137,0.2088488,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.425,4389,0.627,3221,0.052,962,0.061,0.366494,86.104,165328,85425,52.3,62703,61.3,17199,815.3,0.734004,0.061,0.061,0.2013384,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.437,4390,0.627,3222,0.051,955,0,0.366472,86.115,165254,85437,52.0,62707,61.2,17110,863.1,0.7339594,0,0,0.2002637,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.379,4386,0.627,3220,0.051,954,-0.029,0.366462,86.057,165145,85379,51.5,62663,60.7,17104,893.1,0.7339383,-0.029,-0.029,0.2003279,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.4,5,18.472,1355,0.138,1013,0.054,1291,18.887,0.373368,18.664,50290,18472,48.5,13814,56.5,18004,715.1,0.747822,18.887,18.887,0.9746517,,
11,Gcrew_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413,6,16.988,1248,0.128,935,0.049,1181,23.943,0.375214,17.165,46203,16988,50.6,12767,60.2,16448,695.8,0.7515329,23.943,23.943,0.9682432,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,85.731,4405,0.629,3233,0.054,1016,0.134,0.366521,86.414,166741,85731,57.7,62926,68.1,18085,898.2,0.7339911,0.134,0.134,0.2109507,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.892,4410,0.63,3236,0.052,972,0.064,0.366495,86.575,166367,85892,58.1,63040,68.3,17436,1002.6,0.7339391,0.064,0.064,0.2029932,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.889,4409,0.63,3236,0.052,966,0,0.366472,86.572,166263,85889,58.7,63034,68.6,17340,1035.6,0.7338925,0,0,0.2018899,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.852,4411,0.63,3237,0.052,968,0.011,0.366476,86.534,166235,85852,59.4,63007,69.0,17376,1052.7,0.7339004,0.011,0.011,0.2023969,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.4,5,14.922,1072,0.124,896,0.041,970,135.787,0.416027,15.087,40878,14922,57.5,12438,66.6,13517,918.2,0.8335453,135.787,135.787,0.9058438,,
7,Gcrew_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413.2,6,13.705,989,0.114,825,0.038,894,134.073,0.415402,13.857,37711,13705,60.7,11406,70.2,12599,876.0,0.8322877,134.073,134.073,0.9193269,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,85.744,4405,0.629,3234,0.054,1019,0.1,0.366508,86.427,166835,85744,54.3,62936,61.8,18155,847.1,0.7339994,0.1,0.1,0.2117414,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,85.849,4415,0.63,3240,0.052,975,0.02,0.36648,86.531,166301,85849,54.6,63008,62.2,17444,959.3,0.7339413,0.02,0.02,0.2031895,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,85.844,4414,0.63,3239,0.052,968,0,0.366472,86.526,166194,85844,55.1,63003,62.8,17346,1000.3,0.7339262,0,0,0.2020672,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,85.756,4411,0.629,3237,0.052,969,-0.047,0.366455,86.438,166044,85756,55.4,62936,63.3,17352,1024.7,0.733892,-0.047,-0.047,0.2023411,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.6,5,15.633,1127,0.133,964,0.043,1020,162.917,0.425922,15.81,43310,15633,53.2,13343,62.0,14333,914.1,0.8534954,162.917,162.917,0.9168479,,
6,Gcrew_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413.4,6,14.352,1037,0.122,886,0.04,939,162.105,0.425626,14.514,39911,14352,56.7,12241,66.5,13318,892.8,0.8528996,162.105,162.105,0.9279591,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.512,4450,0.635,3267,0.056,1046,0.247,0.366562,87.203,168703,86512,68.4,63518,82.1,18673,1064.2,0.7342072,0.247,0.247,0.2158486,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.588,4452,0.635,3267,0.054,999,-0.144,0.36642,87.277,168060,86588,69.8,63548,84.1,17924,1146.1,0.7339207,-0.144,-0.144,0.207004,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.623,4449,0.636,3266,0.054,1000,0,0.366472,87.313,168148,86623,70.9,63584,84.5,17942,1161.4,0.7340261,0,0,0.2071229,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.583,4449,0.636,3266,0.054,1006,0.01,0.366476,87.273,168170,86583,71.7,63555,86.2,18032,1177.0,0.7340337,0.01,0.01,0.2082598,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.2,5,79.594,5729,0.585,4208,0.063,1247,1.204,0.366912,80.243,159152,79594,69.4,58495,83.6,21063,1188.8,0.73491,1.204,1.204,0.2646249,,
85,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,412.8,6,72.134,5217,0.53,3832,0.054,1082,1.08,0.366866,72.718,143138,72134,79.1,53005,91.4,17999,1222.2,0.7348186,1.08,1.08,0.2495255,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.449,4446,0.635,3265,0.056,1046,0.235,0.366558,87.14,168517,86449,55.7,63466,66.7,18602,867.9,0.7341426,0.235,0.235,0.2151805,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.494,4443,0.635,3260,0.054,999,-0.157,0.366415,87.182,167809,86494,55.7,63474,67.3,17841,990.8,0.7338553,-0.157,-0.157,0.2062687,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.503,4441,0.635,3260,0.054,998,0,0.366472,87.191,167834,86503,55.8,63491,66.8,17840,1044.5,0.7339702,0,0,0.2062405,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.508,4448,0.635,3264,0.054,1007,0.034,0.366484,87.197,167982,86508,56.0,63497,67.9,17977,1095.3,0.733995,0.034,0.034,0.2078012,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.4,5,75.458,5434,0.555,3993,0.061,1184,1.584,0.36705,76.074,151416,75458,55.1,55472,67.6,20487,1217.2,0.7351326,1.584,1.584,0.2715035,,
84,STD_30_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413,6,69.368,5011,0.51,3681,0.052,1036,1.415,0.366989,69.93,137800,69368,65.6,50986,76.9,17446,1293.5,0.7350086,1.415,1.415,0.2514959,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.558,4450,0.635,3267,0.055,1036,0.259,0.366567,87.249,168591,86558,60.9,63545,73.1,18489,952.4,0.7341319,0.259,0.259,0.213602,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.613,4450,0.636,3266,0.053,986,-0.069,0.366447,87.302,167845,86613,60.9,63564,73.4,17668,1043.5,0.7338909,-0.069,-0.069,0.2039841,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.591,4450,0.636,3266,0.053,980,0,0.366472,87.279,167718,86591,60.9,63552,72.6,17575,1062.0,0.7339418,0,0,0.2029684,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.571,4450,0.635,3266,0.053,981,0.041,0.366487,87.26,167718,86571,60.9,63541,72.7,17606,1070.3,0.7339719,0.041,0.041,0.203368,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.4,5,50.672,3659,0.372,2688,0.035,736,0.932,0.366812,51.08,99592,50672,55.6,37225,66.1,11694,969.0,0.7346259,0.932,0.932,0.230782,,
83,STD_20_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413,6,46.321,3347,0.34,2458,0.032,656,0.886,0.366796,46.693,90956,46321,60.9,34027,69.7,10609,918.8,0.7345921,0.886,0.886,0.2290284,,
