Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.455,4346,0.62,3190,0.051,964,0.547,0.366672,85.126,163573,84455,18.4,62011,30.4,17108,733.2,0.7342516,0.547,0.547,0.202569,,
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.515,4344,0.62,3189,0.05,921,0.386,0.366613,85.185,163075,84515,18.6,62045,31,16514,842.7,0.7341331,0.386,0.386,0.1954015,,
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.521,4345,0.62,3188,0.049,912,0,0.366472,85.19,162922,84521,18.6,62026,30.7,16376,885.4,0.7338499,0,0,0.1937497,,
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.562,4347,0.621,3189,0.049,914,-0.078,0.366444,85.231,163025,84562,18.6,62051,28.1,16412,911.5,0.7337927,-0.078,-0.078,0.1940846,,
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.7,5,8.964,645,0.069,500,0.145,3540,54.203,0.386259,9.179,64264,8964,18.1,6935,21.2,48364,761,0.7736264,54.203,54.203,5.3952458,,
57,GWI_UP_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,415.5,6,8.355,603,0.064,466,0.134,3265,51.951,0.385437,8.553,59404,8355,18.8,6450,21.8,44599,732.1,0.7719741,51.951,51.951,5.33807,,
56,GWI_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.414,4342,0.62,3188,0.051,964,0.538,0.366668,85.085,163527,84414,18.5,61980,28.8,17134,729,0.7342333,0.538,0.538,0.2029723,,
56,GWI_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.532,4343,0.621,3188,0.05,922,0.298,0.366581,85.202,163124,84532,18.6,62051,30,16541,841.8,0.7340575,0.298,0.298,0.1956802,,
56,GWI_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.505,4344,0.62,3187,0.049,916,0,0.366472,85.175,162900,84505,18.6,62013,28.9,16381,885.2,0.7338385,0,0,0.1938509,,
56,GWI_UP_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.515,4343,0.62,3187,0.049,915,0.02,0.366479,85.185,162972,84515,18.6,62022,26.4,16436,913,0.733853,0.02,0.02,0.1944708,,
