Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,85.937,4423,0.631,3246,0.057,1069,-0.115,0.36643,86.625,168064,85937,49.5,63078,61.1,19049,784.1,0.7339978,-0.115,-0.115,0.2216594,,
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.122,4427,0.632,3251,0.055,1026,0.244,0.366561,86.809,167730,86122,49.8,63236,60.6,18373,897.0,0.7342614,0.244,0.244,0.2133326,,
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.002,4425,0.631,3248,0.055,1017,0,0.366472,86.688,167377,86002,49.6,63132,62.3,18243,937.8,0.7340821,0,0,0.2121198,,
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.032,4423,0.632,3246,0.055,1017,-0.037,0.366459,86.719,167490,86032,49.4,63153,63.3,18305,963.5,0.7340553,-0.037,-0.037,0.2127627,,
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.6,5,12.97,921,0.141,1003,1.58,37866,479.769,0.541342,14.691,553721,12970,46.1,14089,53.0,526662,779.2,1.0862721,479.769,479.769,40.6052226,,
26,GWI_WC_CoreC_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.2,6,10.011,708,0.115,817,1.428,34176,561.763,0.571167,11.554,497341,10011,47.3,11478,53.7,475853,798.6,1.1464623,561.763,561.763,47.5315095,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.027,4426,0.631,3248,0.058,1079,-0.176,0.366408,86.716,168418,86027,55.3,63141,68.2,19250,803.1,0.7339606,-0.176,-0.176,0.2237635,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.1,4426,0.632,3250,0.056,1034,0.191,0.366542,86.788,167863,86100,55.2,63217,66.9,18545,914.7,0.7342307,0.191,0.191,0.2153924,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.181,4431,0.633,3253,0.055,1028,0,0.366472,86.869,167890,86181,55.2,63265,68.7,18445,957.1,0.7340902,0,0,0.2140258,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.123,4431,0.632,3252,0.056,1028,-0.04,0.366457,86.811,167846,86123,54.7,63220,69.2,18503,981.5,0.7340609,-0.04,-0.04,0.2148448,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.4,5,12.086,854,0.125,888,1.554,37127,411.16,0.516373,13.765,542586,12086,50.7,12520,58.3,517980,800.9,1.0359187,411.16,411.16,42.8571205,,
22,GWI_WC_CoreB_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.2,6,9.325,658,0.101,720,1.406,33522,482.254,0.542246,10.833,488153,9325,52.3,10147,59.1,468681,814.6,1.0881081,482.254,482.254,50.2596069,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,86.09,4427,0.632,3251,0.058,1094,0.516,0.36666,86.781,168789,86090,62.3,63218,78.0,19481,825.9,0.7343234,0.516,0.516,0.2262828,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.228,4436,0.633,3257,0.056,1049,0.16,0.36653,86.918,168315,86228,62.1,63297,78.4,18790,939.5,0.7340619,0.16,0.16,0.2179067,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.267,4433,0.633,3253,0.056,1040,0,0.366472,86.957,168262,86267,61.7,63315,78.3,18680,980.2,0.7339447,0,0,0.2165308,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.203,4427,0.633,3248,0.056,1038,-0.203,0.366398,86.892,168174,86203,61.2,63255,76.2,18716,1003.0,0.7337959,-0.203,-0.203,0.2171138,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.6,5,12.117,854,0.124,877,1.811,43238,393.619,0.509987,14.052,628296,12117,56.6,12394,64.6,603785,817.3,1.0228394,393.619,393.619,49.8301366,,
21,GWI_WC_CoreB_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.4,6,9.376,663,0.1,714,1.64,39180,459.97,0.534138,11.116,566101,9376,58.2,10046,65.7,546679,838.7,1.0715374,459.97,459.97,58.3076871,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.292,4441,0.634,3261,0.059,1107,0.256,0.366566,86.985,169383,86292,70.1,63359,83.3,19731,845.4,0.7342371,0.256,0.256,0.2286575,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.419,4445,0.634,3263,0.057,1058,0.016,0.366478,87.11,168826,86419,69.8,63437,84.0,18970,962.3,0.7340605,0.016,0.016,0.2195174,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.429,4441,0.634,3260,0.057,1052,0,0.366472,87.12,168763,86429,69.2,63443,84.1,18890,1003.3,0.7340491,0,0,0.2185643,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.386,4435,0.634,3254,0.057,1049,-0.278,0.36637,87.076,168692,86386,68.5,63394,83.0,18913,1027.5,0.7338448,-0.278,-0.278,0.2189344,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.6,5,13.251,937,0.129,913,1.363,32608,323.911,0.484601,14.743,480572,13251,63.8,12878,72.7,454443,841.1,0.9718153,323.911,323.911,34.2948627,,
17,GWI_WC_CoreA_T1_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.2,6,10.375,734,0.105,743,1.234,29471,373.889,0.502803,11.713,432026,10375,65.1,10463,73.8,411189,851.9,1.0085021,373.889,373.889,39.6343945,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.7,1,86.581,4456,0.636,3272,0.061,1130,0.652,0.36671,87.277,170337,86581,80.5,63586,97.8,20170,884.8,0.7344134,0.652,0.652,0.2329601,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.583,4452,0.636,3269,0.058,1081,0.394,0.366616,87.276,169541,86583,80.2,63571,99.7,19388,1001.4,0.7342236,0.394,0.394,0.2239216,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.532,4447,0.635,3264,0.058,1071,0,0.366472,87.225,169278,86532,79.7,63509,100.8,19237,1043.5,0.7339346,0,0,0.222314,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.577,4455,0.635,3268,0.058,1071,-0.279,0.36637,87.27,169393,86577,79.2,63524,98.4,19292,1066.2,0.7337297,-0.279,-0.279,0.2228297,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,353.6,5,14.043,994,0.17,1207,1.915,45810,647.136,0.602201,16.127,669303,14043,74.2,16976,84.8,638284,872.3,1.2088898,647.136,647.136,45.4526295,,
16,GWI_WC_CoreA_T1_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,417.2,6,10.881,770,0.14,998,1.732,41378,754.83,0.641322,12.753,602108,10881,75.0,14014,85.5,577212,896.1,1.2879306,754.83,754.83,53.0461259,,
13,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,86.523,4451,0.635,3266,0.059,1108,-0.147,0.366419,87.217,169758,86523,43.6,63514,53.5,19721,844.9,0.7340738,-0.147,-0.147,0.2279275,,
13,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,86.514,4453,0.635,3267,0.057,1055,-0.461,0.366304,87.206,168936,86514,43.5,63488,52.4,18934,950.4,0.7338433,-0.461,-0.461,0.2188588,,
13,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,86.493,4440,0.635,3260,0.056,1043,0,0.366472,87.185,168752,86493,43.4,63502,52.1,18757,984.6,0.7341814,0,0,0.216861,,
13,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,86.468,4446,0.635,3264,0.056,1043,-0.145,0.366419,87.159,168730,86468,43.1,63474,53.4,18789,1003.4,0.7340748,-0.145,-0.145,0.2172904,,
13,STD_30_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,352.6,5,70.05,4960,0.515,3643,0.054,1097,0.435,0.366631,70.618,139437,70050,38.2,51452,44.0,17936,937.0,0.7345006,0.435,0.435,0.2560461,,
