Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.684,4356,0.622,3198,0.06,1134,-0.171,0.36641,85.366,166977,84684,104.5,62166,125.0,20127,830.1,0.7341002,-0.171,-0.171,0.2376701,,
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.786,4354,0.623,3199,0.059,1094,0.76,0.366749,85.468,166710,84786,104.2,62299,127.0,19625,968.4,0.7347835,0.76,0.76,0.2314707,,
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.773,4356,0.622,3199,0.059,1089,0,0.366472,85.453,166515,84773,103.0,62242,131.0,19500,1031.1,0.7342257,0,0,0.2300313,,
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.755,4350,0.622,3193,0.059,1089,-0.332,0.366351,85.436,166548,84755,102.5,62209,133.6,19583,1078.1,0.7339818,-0.332,-0.332,0.231056,,
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,349.2,5,13.163,958,0.11,806,0.037,896,142.315,0.418408,13.31,36673,13163,95.3,11040,112.5,12471,873.5,0.8387168,142.315,142.315,0.947468,,
20,MSM_TR_CoreB_T0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,414,6,12.162,886,0.102,744,0.034,818,140.471,0.417736,12.298,33703,12162,95.2,10184,110.5,11356,832.0,0.837363,140.471,140.471,0.9337295,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,83.662,4303,0.614,3156,0.054,1012,-0.769,0.366191,84.33,163045,83662,40.0,61379,63.5,18004,728.7,0.7336504,-0.769,-0.769,0.215197,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,83.711,4301,0.615,3159,0.052,972,-0.044,0.366456,84.377,162546,83711,41.5,61459,60.6,17377,837.8,0.7341823,-0.044,-0.044,0.2075804,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,83.746,4303,0.615,3159,0.052,966,0,0.366472,84.413,162531,83746,42.8,61488,66.1,17297,883.4,0.7342149,0,0,0.2065432,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,83.745,4301,0.615,3158,0.052,968,0.153,0.366528,84.413,162639,83745,44.1,61497,70.2,17397,913.0,0.734327,0.153,0.153,0.2077392,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,349,5,4.29,302,0.031,221,0.002,48,-9.737,0.362917,4.323,8023,4290,47.3,3119,59.8,614,777.8,0.7270658,-9.737,-9.737,0.1430354,,
18,STD_0_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413.6,6,4.201,298,0.031,218,0.002,53,-5.57,0.364438,4.234,8034,4201,49.9,3067,60.0,766,739.3,0.7301254,-5.57,-5.57,0.1822452,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,83.749,4303,0.614,3155,0.055,1032,-0.779,0.366188,84.419,163546,83749,54.9,61430,82.8,18367,770.0,0.7335055,-0.779,-0.779,0.2193044,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,83.767,4303,0.615,3161,0.053,991,0.653,0.366711,84.436,163078,83767,55.9,61532,79.1,17779,878.8,0.7345566,0.653,0.653,0.2122468,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,83.773,4302,0.615,3158,0.053,984,0,0.366472,84.441,162923,83773,56.7,61496,85.6,17654,923.6,0.7340772,0,0,0.210736,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.5,4,83.789,4305,0.615,3161,0.053,986,0.184,0.366539,84.457,162988,83789,57.3,61519,89.0,17680,952.1,0.7342122,0.184,0.184,0.2110034,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,348.8,5,4.707,335,0.034,245,0.002,54,-9.614,0.362962,4.743,8821,4707,57.1,3422,71.4,692,809.0,0.72702,-9.614,-9.614,0.1470901,,
19,STD_0_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413.4,6,4.496,321,0.033,234,0.002,58,-7.172,0.363853,4.531,8597,4496,58.4,3277,70.3,825,766.4,0.7288123,-7.172,-7.172,0.1835252,,
20,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,83.732,4306,0.615,3161,0.056,1047,-0.083,0.366442,84.403,163809,83732,59.2,61480,79.0,18597,782.6,0.7342456,-0.083,-0.083,0.2221071,,
20,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,83.816,4304,0.616,3164,0.054,1003,1.073,0.366864,84.486,163387,83816,59.7,61613,81.7,17958,898.5,0.7350949,1.073,1.073,0.2142575,,
20,STD_5_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,83.807,4308,0.615,3164,0.054,997,0,0.366472,84.476,163217,83807,59.9,61540,89.8,17870,943.8,0.7343068,0,0,0.2132233,,
