Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.832,4261,0.608,3130,0.055,1024,0.334,0.366594,83.495,161876,82832,32.9,60835,53.5,18209,769.3,0.7344339,0.334,0.334,0.2198315,,
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.891,4258,0.608,3126,0.053,979,-0.254,0.366379,83.552,161308,82891,32.8,60842,56.8,17575,878.8,0.7340021,-0.254,-0.254,0.2120196,,
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.866,4258,0.608,3125,0.052,972,0,0.366472,83.527,161143,82866,32.8,60840,58.0,17437,918.2,0.7341887,0,0,0.2104227,,
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.92,4260,0.608,3124,0.052,970,-0.873,0.366153,83.58,161208,82920,32.7,60826,57.5,17462,939.9,0.7335477,-0.873,-0.873,0.210594,,
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,347.8,5,28.481,2099,0.209,1541,0.019,429,-0.268,0.366374,28.709,55874,28481,30.3,20904,39.4,6489,852.0,0.7339918,-0.268,-0.268,0.2278522,,
58,STD_Chk_10,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,412.6,6,26.216,1935,0.192,1421,0.018,389,-0.012,0.366468,26.427,51550,26216,33.1,19247,40.5,6086,803.3,0.7341803,-0.012,-0.012,0.2321634,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.784,4255,0.608,3126,0.055,1028,0.373,0.366608,83.447,161874,82784,33.8,60806,53.8,18284,753.8,0.7345055,0.373,0.373,0.2208658,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.863,4256,0.608,3124,0.053,983,-0.291,0.366366,83.524,161338,82863,33.8,60823,58.0,17651,866.2,0.7340178,-0.291,-0.291,0.2130194,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.858,4258,0.608,3126,0.053,978,0,0.366472,83.519,161233,82858,33.8,60837,59.7,17538,908.1,0.7342313,0,0,0.2116621,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.868,4256,0.608,3121,0.053,975,-0.949,0.366126,83.528,161201,82868,33.8,60786,59.5,17547,932.9,0.7335347,-0.949,-0.949,0.211744,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,347.6,5,12.028,899,0.108,808,0.379,9539,220.652,0.446973,12.515,149221,12028,33.0,10780,42.1,126413,749.1,0.8962407,220.652,220.652,10.5099344,,
57,MSM_WC_CoreC_T6_B,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,412.4,6,11.104,829,0.099,744,0.346,8702,218.413,0.446157,11.55,136503,11104,33.9,9933,42.0,115466,749.1,0.8945971,218.413,218.413,10.3987269,,
56,MSM_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,82.812,4256,0.609,3129,0.055,1035,1.827,0.367139,83.476,162140,82812,35.3,60874,64.4,18455,774.2,0.7350833,1.827,1.827,0.2228491,,
56,MSM_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,82.928,4260,0.609,3129,0.053,990,0.84,0.366779,83.591,161610,82928,35.4,60899,68.8,17782,885.9,0.7343595,0.84,0.84,0.2144247,,
56,MSM_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,82.941,4261,0.609,3126,0.053,982,0,0.366472,83.603,161423,82941,35.3,60858,72.1,17624,927.3,0.7337429,0,0,0.2124933,,
56,MSM_WC_CoreC_T6_A,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,82.972,4262,0.608,3124,0.053,981,-0.593,0.366255,83.633,161465,82972,35.3,60844,67.6,17649,947.7,0.7333077,-0.593,-0.593,0.2127087,,
