Row,Identifier 1,Identifier 2,Method,Ref  Name,Rt,Peak Nr,Area 28,Ampl  28,Area 29,Ampl  29,Area 30,Ampl  30,d 15N/14N,AT% 15N/14N,Area All,rArea All,rArea 28,BGD 28,rArea 29,BGD 29,rArea 30,BGD 30,rR 29N2/28N2,rd 29N2/28N2,d 29N2/28N2,rR 30N2/28N2,rd 30N2/28N2,d 30N2/28N2
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.446,4343,0.619,3185,0.063,1169,-0.797,0.366181,85.127,167252,84446,32.5,61934,55.1,20872,1232.5,0.733424,-0.797,-0.797,0.2471623,,
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.5,4342,0.621,3189,0.06,1114,0.526,0.366664,85.181,166566,84500,32.6,62056,52.7,20009,1338.8,0.7343947,0.526,0.526,0.2367973,,
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.524,4342,0.62,3188,0.059,1101,0,0.366472,85.204,166370,84524,32.6,62041,56.0,19804,1371.1,0.734009,0,0,0.2343043,,
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.524,4345,0.62,3188,0.059,1098,-0.311,0.366358,85.203,166284,84524,32.5,62022,58.3,19738,1387.2,0.7337807,-0.311,-0.311,0.233517,,
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.5,5,6.893,498,0.05,365,0.004,95,-4.541,0.364814,6.947,13191,6893,30.6,5037,41.2,1261,1177.0,0.730676,-4.541,-4.541,0.1829621,,
62,Blank2,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,413.6,6,4.753,339,0.035,248,0.003,65,-4.969,0.364658,4.791,9130,4753,31.2,3472,40.2,905,1124.8,0.7303614,-4.969,-4.969,0.1902934,,
61,Blank1,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,34.9,1,84.837,4358,0.623,3200,0.068,1254,-0.268,0.366374,85.527,169696,84837,42.8,62269,65.9,22590,1729.2,0.7339819,-0.268,-0.268,0.2662769,,
61,Blank1,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,74.6,2,84.847,4357,0.623,3197,0.065,1188,-0.318,0.366356,85.534,168627,84847,40.4,62273,70.0,21507,1779.0,0.7339448,-0.318,-0.318,0.2534782,,
61,Blank1,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,114.5,3,84.853,4358,0.623,3199,0.064,1173,0,0.366472,85.54,168385,84853,38.7,62298,71.2,21234,1758.8,0.7341785,0,0,0.2502444,,
61,Blank1,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,154.2,4,84.8,4353,0.622,3192,0.063,1164,-1.156,0.36605,85.485,168108,84800,37.6,62186,72.2,21122,1731.8,0.7333301,-1.156,-1.156,0.2490792,,
61,Blank1,SW-SERC,N2+ inject2 no split_c adj timings-x,N2_zero,350.7,5,8.541,621,0.062,454,0.005,139,-5.21,0.36457,8.609,16592,8541,32.8,6238,44.8,1812,1396.1,0.7303535,-5.21,-5.21,0.2121619,,
