Sample,Hours,nmole 15NH4/g sed
Gcrew_TR_A_T0,0,2.649085484
Gcrew_TR_A_T1,2,4.26190661
Gcrew_TR_A_T2,4,1.851173082
Gcrew_TR_B_T0,0,2.652070729
Gcrew_TR_B_T1,2,3.703831098
Gcrew_TR_B_T2,4,1.44602295
Gcrew_TR_C_T0,0,2.029188644
Gcrew_TR_C_T1,2,6.604342448
Gcrew_TR_C_T2,4,10.75870717
Gcrew_UP_A_T0,0,5.48856653
Gcrew_UP_A_T1,2,4.09859504
Gcrew_UP_A_T2,4,4.992131728
Gcrew_UP_A_T3,6,6.367751418
Gcrew_UP_A_T4,10,8.211340811
Gcrew_UP_B_T0,0,0.228847026
Gcrew_UP_B_T1,2,3.586873784
Gcrew_UP_B_T2,4,4.768359662
Gcrew_UP_B_T3,6,7.614813826
Gcrew_UP_B_T4,10,7.386581068
Gcrew_UP_C_T0,0,2.650364775
Gcrew_UP_C_T1,2,3.543452012
Gcrew_UP_C_T2,4,4.61899713
Gcrew_UP_C_T3,6,9.015495329
Gcrew_UP_C_T4,10,8.94039112
Gcrew_WC_A_T0,0,3.686914191
Gcrew_WC_A_T1,2,16.74973047
Gcrew_WC_A_T2,4,19.9652933
Gcrew_WC_B_T0,0,2.786879718
Gcrew_WC_B_T1,2,24.39973125
Gcrew_WC_B_T2,4,11.20465149
Gcrew_WC_C_T0,0,-0.734805735
Gcrew_WC_C_T1,2,6.258463862
Gcrew_WC_C_T2,4,6.956198029
GWI_TR_A_T0,0,0.568121896
GWI_TR_A_T1,2,9.522758598
GWI_TR_A_T2,4,17.93845735
GWI_TR_B_T0,0,0.743527697
GWI_TR_B_T1,2,22.71159162
GWI_TR_B_T2,4,18.19284204
GWI_TR_C_T0,0,0.922793808
GWI_TR_C_T1,2,7.184828752
GWI_TR_C_T2,4,22.83525381
GWI_UP_A_T0,0,2.283229161
GWI_UP_A_T1,2,3.460537261
GWI_UP_A_T2,4,3.520142496
GWI_UP_A_T3,6,5.346981025
GWI_UP_A_T4,10,9.636150645
GWI_UP_B_T0,0,2.046664985
GWI_UP_B_T1,2,2.878567541
GWI_UP_B_T2,4,4.403371746
GWI_UP_B_T3,6,4.61505146
GWI_UP_B_T4,10,12.38735513
GWI_UP_C_T0,0,1.532285266
GWI_UP_C_T1,2,1.532990022
GWI_UP_C_T2,4,2.659310677
GWI_UP_C_T3,6,5.533842893
GWI_UP_C_T4,10,11.5882943
GWI_WC_A_T0,0,0.057967237
GWI_WC_A_T1,2,8.439642201
GWI_WC_A_T2,4,8.131266961
GWI_WC_B_T0,0,0.239528782
GWI_WC_B_T1,2,6.02107829
GWI_WC_B_T2,4,7.248581409
GWI_WC_C_T0,0,-0.001710513
GWI_WC_C_T1,2,19.83552858
GWI_WC_C_T2,4,11.6208298
MSM_TR_A_T0,0,5.935799309
MSM_TR_A_T1,2,26.01693751
MSM_TR_A_T2,4,16.07328661
MSM_TR_B_T0,0,0.41268585
MSM_TR_B_T1,2,4.740675071
MSM_TR_B_T2,4,6.92811042
MSM_TR_C_T0,0,2.879674892
MSM_TR_C_T1,2,6.434507418
MSM_TR_C_T2,4,7.111024848
MSM_UP_A_T0,0,0.641630179
MSM_UP_A_T1,2,0.744318509
MSM_UP_A_T2,4,1.642682184
MSM_UP_A_T3,6,1.319199272
MSM_UP_A_T4,10,2.091058194
MSM_UP_B_T0,0,-0.445351485
MSM_UP_B_T1,2,0.765303506
MSM_UP_B_T2,4,1.529667745
MSM_UP_B_T3,6,3.919553439
MSM_UP_B_T4,10,12.65488484
MSM_UP_C_T0,0,1.260515533
MSM_UP_C_T1,2,2.957006704
MSM_UP_C_T2,4,6.018700724
MSM_UP_C_T3,6,13.69947047
MSM_UP_C_T4,10,20.29520219
MSM_WC_A_T0,0,1.009304131
MSM_WC_A_T1,2,4.315678961
MSM_WC_A_T2,4,5.377792471
MSM_WC_A_T3,6,7.846195704
MSM_WC_A_T4,10,15.26546409
MSM_WC_B_T0,0,0.980391212
MSM_WC_B_T1,2,10.6821543
MSM_WC_B_T2,4,7.274697131
MSM_WC_C_T0,0,0.249388777
MSM_WC_C_T1,2,11.62958195
MSM_WC_C_T2,4,16.58735814
SWH_TR_A_T0,0,1.7791793
SWH_TR_A_T1,1,13.62662773
SWH_TR_A_T2,2,15.6852981
SWH_TR_A_T3,4,25.7457464
SWH_TR_B_T0,0,2.660968382
SWH_TR_B_T1,1,13.44923114
SWH_TR_B_T2,2,22.60383639
SWH_TR_B_T3,4,23.85845425
SWH_TR_C_T0,0,-0.586378208
SWH_TR_C_T1,1,9.140285293
SWH_TR_C_T2,2,26.08624539
SWH_TR_C_T3,4,15.09241066
SWH_UP_A_T0,0,2.411357098
SWH_UP_A_T1,1,3.234749706
SWH_UP_A_T2,2,2.923085042
SWH_UP_A_T3,4,4.10227935
SWH_UP_A_T4,6,5.234550631
SWH_UP_A_T5,10,6.011540999
SWH_UP_B_T0,0,2.339164759
SWH_UP_B_T1,1,2.655590021
SWH_UP_B_T2,2,3.17863068
SWH_UP_B_T3,4,3.21353657
SWH_UP_B_T4,6,4.470707444
SWH_UP_B_T5,10,4.242600818
SWH_UP_C_T0,0,2.217898236
SWH_UP_C_T1,1,4.687399668
SWH_UP_C_T2,2,4.296529595
SWH_UP_C_T3,4,3.745027665
SWH_UP_C_T4,6,7.574419043
SWH_UP_C_T5,10,7.824191908
SWH_WC_A_T0,0,-0.360181547
SWH_WC_A_T1,1,16.44565731
SWH_WC_A_T2,2,16.97963388
SWH_WC_A_T3,4,22.33853654
SWH_WC_B_T0,0,0.718684912
SWH_WC_B_T1,1,7.747797942
SWH_WC_B_T2,2,18.69838539
SWH_WC_B_T3,4,14.49863445
SWH_WC_C_T0,0,-0.457250893
SWH_WC_C_T1,1,15.07361613
SWH_WC_C_T2,2,21.19576289
SWH_WC_C_T3,4,26.32099149
