"","Site","Zone","mean","std","se"
"1","GWI","TR",4.72767581658333,0.649974376481348,0.375262881227865
"2","GWI","UP",0.923984989114866,0.176754830646729,0.102049449054456
"3","GWI","WC",2.225407722,0.60392810753633,0.348678055457281
"4","Gcrew","TR",0.560463195416667,1.4055470182712,0.811492949357552
"5","Gcrew","UP",0.58948209256982,0.215203135034415,0.124247587942571
"6","Gcrew","WC",2.69892955375,1.19050214702953,0.687336735058326
"7","MSM","TR",1.74035515225,0.74455519164984,0.429869140325569
"8","MSM","UP",1.15836343782883,0.953021398638974,0.550227161047685
"9","MSM","WC",2.34261543655856,1.5119473764508,0.872923224794415
"10","SWH","TR",4.86685774155238,0.816748153972378,0.471549766556082
"11","SWH","UP",0.363292222439871,0.156650614021444,0.090442274174001
"12","SWH","WC",4.83987869552381,1.36006576856572,0.785234337597013
