"","Site","Zone","Replicate","NH4_Rate_g_hr"
"1","Gcrew","TR","A",-0.1994781005
"2","Gcrew","TR","B",-0.30151194475
"3","Gcrew","TR","C",2.1823796315
"4","Gcrew","UP","A",0.341025967756757
"5","Gcrew","UP","B",0.709895071648649
"6","Gcrew","UP","C",0.717525238304054
"7","Gcrew","WC","A",4.06959477725
"8","Gcrew","WC","B",2.104442943
"9","Gcrew","WC","C",1.922750941
"10","MSM","TR","A",2.53437182525
"11","MSM","TR","B",1.6288561425
"12","MSM","TR","C",1.057837489
"13","MSM","UP","A",0.144493828358108
"14","MSM","UP","B",1.29475661533784
"15","MSM","UP","C",2.03583986979054
"16","MSM","WC","A",1.36977748917568
"17","MSM","WC","B",1.57357647975
"18","MSM","WC","C",4.08449234075
"19","GWI","TR","A",4.3425838635
"20","GWI","TR","B",4.36232858575
"21","GWI","TR","C",5.4781150005
"22","GWI","UP","A",0.722264502006757
"23","GWI","UP","B",0.997939769141892
"24","GWI","UP","C",1.05175069619595
"25","GWI","WC","A",2.018324931
"26","GWI","WC","B",1.75226315675
"27","GWI","WC","C",2.90563507825
"28","SWH","TR","A",5.54465364028571
"29","SWH","TR","B",5.09587007274286
"30","SWH","TR","C",3.96004951162857
"31","SWH","UP","A",0.367972302174334
"32","SWH","UP","B",0.20435401044552
"33","SWH","UP","C",0.517550354699758
"34","SWH","WC","A",4.89173604682857
"35","SWH","WC","B",3.45462592085714
"36","SWH","WC","C",6.17327411888571
