Site,Zone,Replicate,Sample_ID,DNF_Rate_g_hr,DNRA_Rate_g_hr,pH,Percent_Water_WetSoil,Percent_OM_WetSoil,Percent_Water_drySoil,Percent_OM_drySoil,HG_Soil_Moisture_wfv,HG_Soil_Moisture_percent,HG_Soil_Temperature_C,HG_Soil_Temperature_F ,HG_Bulk_EC(Raw)_dS/m,HG_Bulk_EC(TC)_dS/m,HG_PoreWater EC_dS/m,HG_PoreWater_EC_Offset,HG_Raw_Real_Dielectric,HG_Raw_Imaginary_Dielectric,HG_Loss_Tangent,HG_Memo,Soil_EC,Soil_Sal,Soil KCl NH4 (uM),Soil KCl Nox (uM),Soil KCl DIN (uM)
Gcrew,UP,A,Gcrew_UP_A,0.011055016,-0.20048884,4.5,12,21.8,114,88.8,0.061,6.1,19.3,66.8,0.04,0.04,2.19,3.4,4.833,1.403,0.29,gcrew up a ,38,0,41.40032984,0.014472,41.41480184
Gcrew,UP,B,Gcrew_UP_B,0.029066164,-0.303039682,4.63,12.5,22.4,114,88.6,0.141,14.1,19.3,66.8,0.06,0.06,0.91,3.4,8.594,2.021,0.24,gcrew up b ,17,0,58.13517816,0.027106,58.16228416
Gcrew,UP,C,Gcrew_UP_C,0.618821777,2.193437577,4.62,8.9,19.9,110,87.9,0.112,11.2,19.3,66.8,0.06,0.07,1.47,3.4,7.14,2.202,0.31,gcrew up C ,15,0,51.61244262,0.015107,51.62754962
Gcrew,TR,A,Gcrew_TR_A,17.1485588,0.342753919,4.59,39.2,46.1,164,88.6,0.532,53.2,19.3,66.8,0.27,0.29,0.58,3.4,42.544,9.728,0.23,gcrew tr a,63,0,32.01089479,0.018898,32.02979279
Gcrew,TR,B,Gcrew_TR_B,23.50913717,0.713492054,4.67,38,46.1,161,87,0.494,49.4,19.1,66.4,0.28,0.31,0.7,3.4,38.1,10.06,0.26,gcrew tr b,53,0,46.08972849,0.018789,46.10851749
Gcrew,TR,C,Gcrew_TR_C,12.52916724,0.721160882,4.62,36.7,44.3,158,88.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,47.30621774,0.014052,47.32026974
Gcrew,WC,A,Gcrew_WC_A,1.63425083,4.090215092,5.36,87.5,96.3,799,29.3,0.95,95,20.5,68.9,4.39,4.7,2.43,3.4,155.186,157.845,1.02,gcrew wc a,4090,2.1,48.39448264,0.083295,48.47777764
Gcrew,WC,B,Gcrew_WC_B,0.045379145,2.115105988,4.85,88.7,95.4,883,41,0.95,95,19.9,67.8,3.93,4.24,2.1,3.4,161.724,141.479,0.87,gcrew wc b,4620,2.4,42.80965538,0.011858,42.82151338
Gcrew,WC,C,Gcrew_WC_C,2.869635598,1.932493368,5.6,86.7,96.9,751,23.5,0.95,95,20.3,68.5,3.95,4.24,2.09,3.4,162.493,142.262,0.88,gcrew wc c,4290,2.2,95.14660841,0.010525,95.15713341
MSM,UP,A,MSM_UP_A,4.68239016,2.547213287,4.58,33.8,40.7,151,89.6,0.238,23.8,24.7,76.4,0.61,0.61,4.26,3.4,14.636,21.827,1.49,msm-upland-coreA,409,0,4.077477207,0.028858,4.106335207
MSM,UP,B,MSM_UP_B,0.098579211,1.637109428,4.88,35,41.4,154,90.1,0.378,37.8,24.7,76.4,0.82,0.82,2.84,3.4,26.069,29.455,1.13,msm-upland-coreB,269,0,16.57620996,0.050629,16.62683896
MSM,UP,C,MSM_UP_C,0.259998931,1.063197468,4.58,66.2,78.6,296,63.2,0.344,34.4,24.7,76.4,0.81,0.82,3.28,3.4,23.008,29.271,1.27,msm-upland-coreC,437,0,7.029136056,0.043532,7.072668056
MSM,TR,A,MSM_TR_A,13.91503746,0.145225967,5.75,84.8,96.6,658,22.5,0.95,95,25.9,78.6,3.97,3.93,2.47,3.4,128.168,142.677,1.11,msm-transition-coreA,3310,1.7,14.05827211,0.011986,14.07025811
MSM,TR,B,MSM_TR_B,26.13126753,1.301317045,6.13,86.2,96.8,725,23.1,0.95,95,26.9,80.5,3.74,3.65,1.96,3.4,149.664,134.47,0.9,msm-transition-coreB,3000,1.5,33.52160038,0.012607,33.53420738
