,Site,Date,Zone,Replicate,Depth,Tree,Month,Sample_Name,NH3_uM,PO4_uM,NOx_uM,NH3_range,PO4_range,NOx_range
6,GCrew,202209,TR,LysB,10cm,GCrew,September,GCrew_202209_TR_LysB_10cm,32.45646726,0.549736912,0.438433036,Within_Range,Within_Range,bdl
9,GCrew,202209,TR,LysC,10cm,GCrew,September,GCrew_202209_TR_LysC_10cm,4.392683501,1.375770167,NA,Within_Range,Within_Range,NA
13,GCrew,202209,UP,LysA,10cm,GCrew,September,GCrew_202209_UP_LysA_10cm,1.447378754,2.149257141,NA,Within_Range,Within_Range,NA
14,GCrew,202209,WC,LysA,10cm,GCrew,September,GCrew_202209_WC_LysA_10cm,33.52224293,10.48798075,NA,Within_Range,Within_Range,NA
18,GCrew,202209,WC,LysB,10cm,GCrew,September,GCrew_202209_WC_LysB_10cm,45.91338431,15.21136313,NA,Within_Range,Within_Range,NA
24,GCrew,202209,WC,LysC,10cm,GCrew,September,GCrew_202209_WC_LysC_10cm,20.04540684,6.232088929,NA,Within_Range,Within_Range,NA
32,GWI,202209,TR,LysA,10cm,GWI,September,GWI_202209_TR_LysA_10cm,20.73543376,1.278816566,0.137291439,Within_Range,Within_Range,bdl
35,GWI,202209,TR,LysB,10cm,GWI,September,GWI_202209_TR_LysB_10cm,26.49639101,0.928198648,0,Within_Range,Within_Range,bdl
38,GWI,202209,TR,LysC,10cm,GWI,September,GWI_202209_TR_LysC_10cm,41.87281801,2.089856997,0.947974898,Within_Range,Within_Range,bdl
39,GWI,202209,TR,LysC,10cm,GWI,September,GWI_202209_TR_LysC_10cm,41.87281801,2.089856997,0.200404092,Within_Range,Within_Range,bdl
53,GWI,202209,UP,LysB,10cm,GWI,September,GWI_202209_UP_LysB_10cm,15.41119607,6.628827632,0.044835686,Within_Range,Within_Range,bdl
56,GWI,202209,UP,LysC,10cm,GWI,September,GWI_202209_UP_LysC_10cm,31.7581586,3.636688156,1.279744694,Within_Range,Within_Range,bdl
58,GWI,202209,WC,LysA,10cm,GWI,September,GWI_202209_WC_LysA_10cm,39.08051147,1.719462829,NA,Within_Range,Within_Range,NA
62,GWI,202209,WC,LysB,10cm,GWI,September,GWI_202209_WC_LysB_10cm,41.75144752,2.812225578,NA,Within_Range,Within_Range,NA
65,GWI,202209,WC,LysC,10cm,GWI,September,GWI_202209_WC_LysC_10cm,59.729558,2.634167934,NA,Within_Range,Within_Range,NA
71,MSM,202209,TR,LysA,10cm,MSM,September,MSM_202209_TR_LysA_10cm,33.69280416,2.590760136,0,Within_Range,Within_Range,bdl
74,MSM,202209,TR,LysB,10cm,MSM,September,MSM_202209_TR_LysB_10cm,40.12922387,0.943834022,0,Within_Range,Within_Range,bdl
76,MSM,202209,TR,LysC,10cm,MSM,September,MSM_202209_TR_LysC_10cm,37.81183291,1.340001571,0,Within_Range,Within_Range,bdl
92,MSM,202209,UP,LysB,10cm,MSM,September,MSM_202209_UP_LysB_10cm,2.13383595,0.826247439,0,Within_Range,Within_Range,bdl
95,MSM,202209,UP,LysC,10cm,MSM,September,MSM_202209_UP_LysC_10cm,26.80709946,0.934624144,0,Within_Range,Within_Range,bdl
96,MSM,202209,UP,LysC,10cm,MSM,September,MSM_202209_UP_LysC_10cm,26.80709946,0.298999764,0,Within_Range,Within_Range,bdl
108,MSM,202209,WC,LysA,10cm,MSM,September,MSM_202209_WC_LysA_10cm,17.15557555,2.68321589,NA,Within_Range,Within_Range,NA
111,MSM,202209,WC,LysB,10cm,MSM,September,MSM_202209_WC_LysB_10cm,24.80827033,5.262410132,NA,Within_Range,Within_Range,NA
114,MSM,202209,WC,LysC,10cm,MSM,September,MSM_202209_WC_LysC_10cm,64.63335404,3.588139962,NA,Within_Range,Within_Range,NA
