"Site","Plot","TIMESTAMP","Instrument","Instrument_ID","Sensor_ID","Location","Value","research_name","ID","F_OOB","F_OOS"
"GCW","W","2022-09-01 00:00:00","CS106",,,,1014.011,"wx_barpress15","7cf371dbebd02919",0,0
"GCW","W","2022-09-01 00:00:00","CS700",,,,0,"wx_gcrew_rain15","5f6c61cf98b2a8ff",0,0
"GCW","W","2022-09-01 00:00:00","RM Young 05103-10-L",,,,0.9211999,"wx_maxws15","074fbf52790f10a9",0,0
"GCW","W","2022-09-01 00:00:00","RM Young 05103-10-L",,,,0,"wx_minws15","0395fb221fc87c3e",0,0
"GCW","W","2022-09-01 00:00:00","LI-190R",,,,0.128,"wx_par_den15","1175f26f236988b5",,0
"GCW","W","2022-09-01 00:00:00","LI-190R",,,,0,"wx_par_tot15","b42550a42877bc18",,0
"GCW","W","2022-09-01 00:00:00","CS EE181",,,,95,"wx_rh15","40d022c9509e8a0d",0,0
"GCW","W","2022-09-01 00:00:00","LI-200R",,,,0.052,"wx_slr_fd15","e3cbb0d3caba6104",,0
"GCW","W","2022-09-01 00:00:00","LI-200R",,,,0,"wx_slr_tf15","dca036510cf00900",,0
"GCW","W","2022-09-01 00:00:00","CS106",,,,4.450417,"wx_svp15","177cdd941931315b",,0
"GCW","W","2022-09-01 00:00:00","CS EE181",,,,17.54,"wx_tempavg15","ca09a825e3ffb844",0,0
"GCW","W","2022-09-01 00:00:00","CS106",,,,0,"wx_vappress15","b360b4d81f6c6f89",1,0
"GCW","W","2022-09-01 00:00:00","CS106",,,,4.450417,"wx_vpd15","610c337be555e1aa",,0
"GCW","W","2022-09-01 00:00:00","RM Young 05103-10-L",,,,223.9284,"wx_winddir15","64376257842124e3",0,0
"GCW","W","2022-09-01 00:00:00","RM Young 05103-10-L",,,,0.2674311,"wx_windspeed15","a1f6c68425e9428d",,0
"GCW","W","2022-09-01 00:15:00","CS106",,,,1014.07,"wx_barpress15","9829a22658f7a9b9",0,0
"GCW","W","2022-09-01 00:15:00","CS700",,,,0,"wx_gcrew_rain15","3a6ed481656ef9db",0,0
"GCW","W","2022-09-01 00:15:00","RM Young 05103-10-L",,,,0.7644,"wx_maxws15","9f4756be251b150b",0,0
"GCW","W","2022-09-01 00:15:00","RM Young 05103-10-L",,,,0.2156,"wx_minws15","505bc5d36890b552",0,0
"GCW","W","2022-09-01 00:15:00","LI-190R",,,,0.227,"wx_par_den15","667978e902b2bde5",,0
"GCW","W","2022-09-01 00:15:00","LI-190R",,,,0,"wx_par_tot15","b2eb799522e611a0",,0
"GCW","W","2022-09-01 00:15:00","CS EE181",,,,95.4,"wx_rh15","173356e38c2c24cd",0,0
"GCW","W","2022-09-01 00:15:00","LI-200R",,,,0.075,"wx_slr_fd15","16acff37cd2beef6",,0
