Site,Zone,Replicate,NH4_Rate_g_hr,Site,Zone,Replicate,N2_Rate_g_hr,DNF: DNRA ,Percent_DNRA,Percent_DNF,Total_N_Reduction,,
Gcrew,TR,A,0,Gcrew,TR,CoreA,17.1485588,NA,0.00%,100.00%,17.1485588,,
Gcrew,TR,B,0,Gcrew,TR,CoreB,23.50913717,NA,0.00%,100.00%,23.50913717,,
Gcrew,TR,C,2.193437577,Gcrew,TR,CoreC,12.52916724,5.712,14.90%,85.10%,14.72260482,,
Gcrew,UP,A,0.342753919,Gcrew,UP,CoreA,0.011055016,0.032,96.88%,3.12%,0.353808936,,
Gcrew,UP,B,0.713492054,Gcrew,UP,CoreB,0.029066164,0.041,96.09%,3.91%,0.742558217,,
Gcrew,UP,C,0.721160882,Gcrew,UP,CoreC,0.618821777,0.858,53.82%,46.18%,1.339982659,,
Gcrew,WC,A,4.090215092,Gcrew,WC,CoreA,1.63425083,0.400,71.45%,28.55%,5.724465922,,
Gcrew,WC,B,2.115105988,Gcrew,WC,CoreB,0.045379145,0.021,97.90%,2.10%,2.160485133,,
Gcrew,WC,C,1.932493368,Gcrew,WC,CoreC,2.869635598,1.485,40.24%,59.76%,4.802128966,,
MSM,TR,A,2.547213287,MSM,TR,CoreA,13.91503746,5.463,15.47%,84.53%,16.46225074,,
MSM,TR,B,1.637109428,MSM,TR,CoreB,26.13126753,15.962,5.90%,94.10%,27.76837695,,
MSM,TR,C,1.063197468,MSM,TR,CoreC,22.09477501,20.781,4.59%,95.41%,23.15797248,,
MSM,UP,A,0.145225967,MSM,UP,CoreA,4.68239016,32.242,3.01%,96.99%,4.827616128,,
MSM,UP,B,1.301317045,MSM,UP,CoreB,0.098579211,0.076,92.96%,7.04%,1.399896256,,
MSM,UP,C,2.046155309,MSM,UP,CoreC,0.259998931,0.127,88.73%,11.27%,2.30615424,,
MSM,WC,A,1.097655781,MSM,WC,CoreA,0.045169773,0.041,96.05%,3.95%,1.142825554,,
MSM,WC,B,1.581549667,MSM,WC,CoreB,4.040315927,2.555,28.13%,71.87%,5.621865594,,
MSM,WC,C,4.10518814,MSM,WC,CoreC,1.374831847,0.335,74.91%,25.09%,5.480019987,,
GWI,TR,A,4.364587392,GWI,TR,CoreA,15.40230192,3.529,22.08%,77.92%,19.76688931,,
GWI,TR,B,4.384432159,GWI,TR,CoreB,13.7630688,3.139,24.16%,75.84%,18.14750096,,
GWI,TR,C,5.505872175,GWI,TR,CoreC,7.945684032,1.443,40.93%,59.07%,13.45155621,,
GWI,UP,A,0.725924159,GWI,UP,CoreA,0.330536814,0.455,68.71%,31.29%,1.056460973,,
GWI,UP,B,1.002996251,GWI,UP,CoreB,0.463518583,0.462,68.39%,31.61%,1.466514835,,
GWI,UP,C,1.057079834,GWI,UP,CoreC,0.164266515,0.155,86.55%,13.45%,1.221346349,,
GWI,WC,A,2.028551624,GWI,WC,CoreA,14.43864308,7.118,12.32%,87.68%,16.4671947,,
GWI,WC,B,1.761141735,GWI,WC,CoreB,21.25416962,12.068,7.65%,92.35%,23.01531136,,
GWI,WC,C,2.9203577,GWI,WC,CoreC,14.35531919,4.916,16.90%,83.10%,17.27567689,,
SWH,TR,A,5.572747961,SWH,TR,CoreA,13.93224876,2.500,28.57%,71.43%,19.50499672,,
SWH,TR,B,5.121690443,SWH,TR,CoreB,11.18882836,2.185,31.40%,68.60%,16.31051881,,
SWH,TR,C,3.980114769,SWH,TR,CoreC,10.7107485,2.691,27.09%,72.91%,14.69086327,,
SWH,UP,A,0.369836789,SWH,UP,CoreA,9.166301163,24.785,3.88%,96.12%,9.536137952,,
SWH,UP,B,0.205389456,SWH,UP,CoreB,8.971936517,43.683,2.24%,97.76%,9.177325973,,
SWH,UP,C,0.520172741,SWH,UP,CoreC,8.915829198,17.140,5.51%,94.49%,9.436001939,,
SWH,WC,A,2.946787904,SWH,WC,CoreA,8.350894039,2.834,26.08%,73.92%,11.29768194,,
SWH,WC,B,2.036950376,SWH,WC,CoreB,7.133907278,3.502,22.21%,77.79%,9.170857654,,
SWH,WC,C,3.928062954,SWH,WC,CoreC,3.982395496,1.014,49.66%,50.34%,7.91045845,,
