Location,Transect,DNF_Rate,Source ,Units
"Sweet Hall Marsh, Virginia, USA",Upland,16333,This Study,umol N m-2 d-1
"Goodwin Islands, Virginia, USA",Upland,322,This Study,umol N m-2 d-1
"Moneystump Swamp, Maryland, USA",Upland,605,This Study,umol N m-2 d-1
"GCReW, Maryland, USA",Upland,406,This Study,umol N m-2 d-1
"Sweet Hall Marsh, Virginia, USA",Wetland,2845,This Study,umol N m-2 d-2
"Goodwin Islands, Virginia, USA",Wetland,59657,This Study,umol N m-2 d-2
"Moneystump Swamp, Maryland, USA",Wetland,437,This Study,umol N m-2 d-2
"GCReW, Maryland, USA",Wetland,873,This Study,umol N m-2 d-2
"Sweet Hall Marsh, Virginia, USA",Transition,20221,This Study,umol N m-2 d-2
"Goodwin Islands, Virginia, USA",Transition,29986,This Study,umol N m-2 d-2
"Moneystump Swamp, Maryland, USA",Transition,7954,This Study,umol N m-2 d-2
"GCReW, Maryland, USA",Transition,16169,This Study,umol N m-2 d-2
