"","Site","Zone","Replicate","NH4_Rate_g_hr"
"1","Gcrew","TR","A",-0.200488840250001
"2","Gcrew","TR","B",-0.30303968225
"3","Gcrew","TR","C",2.193437577
"4","Gcrew","UP","A",0.342753919364865
"5","Gcrew","UP","B",0.713492053716216
"6","Gcrew","UP","C",0.721160881810811
"7","Gcrew","WC","A",4.09021509175
"8","Gcrew","WC","B",2.11510598825
"9","Gcrew","WC","C",1.93249336775
"10","MSM","TR","A",2.5472132865
"11","MSM","TR","B",1.6371094275
"12","MSM","TR","C",1.063197468
"13","MSM","UP","A",0.145225967060811
"14","MSM","UP","B",1.30131704466892
"15","MSM","UP","C",2.04615530893919
"16","MSM","WC","A",1.097655781
"17","MSM","WC","B",1.581549667
"18","MSM","WC","C",4.10518814
"19","GWI","TR","A",4.3645873915
"20","GWI","TR","B",4.38443215925
"21","GWI","TR","C",5.50587217475
"22","GWI","UP","A",0.725924158952703
"23","GWI","UP","B",1.00299625121622
"24","GWI","UP","C",1.05707983376351
"25","GWI","WC","A",2.0285516235
"26","GWI","WC","B",1.76114173525
"27","GWI","WC","C",2.9203577
"28","SWH","TR","A",5.57274796142857
"29","SWH","TR","B",5.12169044325714
"30","SWH","TR","C",3.98011476908571
"31","SWH","UP","A",0.36983678864891
"32","SWH","UP","B",0.205389456053269
"33","SWH","UP","C",0.520172741317191
"34","SWH","WC","A",2.94678790355206
"35","SWH","WC","B",2.03695037642615
"36","SWH","WC","C",3.92806295423971
