"","Site","Zone","Replicate","29N2_Rate_g_hr","AMX_g_hr"
"1","Gcrew","TR","CoreA",0.0279082731428571,0.0279082731428571
"2","Gcrew","TR","CoreB",0.017339210375,0.017339210375
"3","Gcrew","TR","CoreC",0.0263226585,0.0263226585
"4","Gcrew","UP","CoreA",0.00831664947635135,0.00831664947635135
"5","Gcrew","UP","CoreB",0.0118859766452703,0.0118859766452703
"6","Gcrew","UP","CoreC",0.0341048094763513,0.0341048094763513
"7","Gcrew","WC","CoreA",0.03948118575,0.03948118575
"8","Gcrew","WC","CoreB",0.0115450055,0.0115450055
"9","Gcrew","WC","CoreC",0.044771815125,0.044771815125
"10","MSM","TR","CoreA",0.147227017625,0.147227017625
"11","MSM","TR","CoreB",0.166573855625,0.166573855625
"12","MSM","TR","CoreC",0.262906397625,0.262906397625
"13","MSM","UP","CoreA",0.0107404584695946,0.0107404584695946
"14","MSM","UP","CoreB",-0.000151124740601504,-0.000151124740601504
"15","MSM","UP","CoreC",0.000975240078947368,0.000975240078947368
"16","MSM","WC","CoreA",0.002023407625,0.002023407625
"17","MSM","WC","CoreB",0.045121847875,0.045121847875
"18","MSM","WC","CoreC",0.019487091875,0.019487091875
"19","GWI","TR","CoreA",0.060575216,0.060575216
"20","GWI","TR","CoreB",0.0715641515,0.0715641515
"21","GWI","TR","CoreC",0.031114562625,0.031114562625
"22","GWI","UP","CoreA",0.00619889940202703,0.00619889940202703
"23","GWI","UP","CoreB",0.00543047343243243,0.00543047343243243
"24","GWI","UP","CoreC",0.00281302054054054,0.00281302054054054
"25","GWI","WC","CoreA",0.115791295375,0.115791295375
"26","GWI","WC","CoreB",0.1970596945,0.1970596945
"27","GWI","WC","CoreC",0.098040046625,0.098040046625
"28","SWH","TR","CoreA",0.5023194916,0.5023194916
"29","SWH","TR","CoreB",0.469811963428572,0.469811963428572
"30","SWH","TR","CoreC",0.446324851928571,0.446324851928571
"31","SWH","UP","CoreA",0.0363007397192269,0.0363007397192269
"32","SWH","UP","CoreB",0.0787793357748184,0.0787793357748184
"33","SWH","UP","CoreC",0.0291416536694915,0.0291416536694915
"34","SWH","WC","CoreA",0.143181503485714,0.143181503485714
"35","SWH","WC","CoreB",0.127294265928571,0.127294265928571
"36","SWH","WC","CoreC",0.0509743967285714,0.0509743967285714
