"","Site","Zone","mean","std","se"
"1","GWI","TR",0.0544179767083333,0.0209159271085521,0.0120758161464731
"2","GWI","UP",0.004814131125,0.00177509219369407,0.00102484995586567
"3","GWI","WC",0.136963678833333,0.0527960702354094,0.030481825362568
"4","Gcrew","TR",0.0238567140059524,0.0056997310141373,0.00329074123532063
"5","Gcrew","UP",0.0181024785326576,0.0139728655197607,0.00806723766918428
"6","Gcrew","WC",0.0319326687916667,0.0178532994336252,0.0103076072339265
"7","MSM","TR",0.192235756958333,0.0619623242327739,0.0357739645754069
"8","MSM","UP",0.00385485793598016,0.0059896406785435,0.00345812065810622
"9","MSM","WC",0.0222107824583333,0.0216779324611691,0.0125157601419305
"10","SWH","TR",0.472818768985714,0.0281181538819165,0.0162340237128398
"11","SWH","UP",0.0480739097211789,0.0268315210176114,0.015491185882285
"12","SWH","WC",0.107150055380952,0.0492938084151638,0.0284597935578767
