"","Site","Zone","mean","std","se"
"1","GWI","TR",12.370351582625,3.91854992406958,2.26237585349456
"2","GWI","UP",0.319440637726351,0.149934298587615,0.0865646076503173
"3","GWI","WC",16.68271062825,3.95921882716847,2.28585605564635
"4","Gcrew","TR",17.7289544032321,5.51294650931157,3.18290115117904
"5","Gcrew","UP",0.219647652365991,0.34581221318945,0.199654774373989
"6","Gcrew","WC",1.51642185770833,1.41581032592438,0.817418472793892
"7","MSM","TR",20.713693331375,6.22411513645329,3.59349454949853
"8","MSM","UP",1.68032276743422,2.60111909680488,1.50175681073458
"9","MSM","WC",1.82010584895833,2.0344532191281,1.17459211371731
"10","SWH","TR",11.9439418769095,1.73843702582293,1.00368708482808
"11","SWH","UP",9.01802229241192,0.131441908908183,0.0758880214909377
"12","SWH","WC",6.4890656044,2.25450891939467,1.30164133150293
