"","Analysis","Run_Date","Run_by","Curve_top","curve","slope","intercept","R2"
"1","CH4",2024-07-09,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001594508,-0.209011794,0.996021498
"2","CH4",2024-07-09,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001562326,0.096462426,0.99965305
"3","N2O",2024-07-09,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000192023,0.07848462,0.994078525
"4","N2O",2024-07-09,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000282245,-0.4992549,0.996064359
"5","CO2",2024-07-09,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.000282245,-0.4992549,NA
"6","CO2",2024-07-09,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.001549502,38.64567509,0.99969067
"7","CO2",2024-07-09,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.001589347,-22.53271377,0.998033031
"8","CH4",2025-06-03,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001635071,-0.415802812,0.998936972
"9","CH4",2025-06-03,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001610517,-0.260179312,0.999589693
"10","N2O",2025-06-03,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000332544,0.02720789,0.998943899
"11","N2O",2025-06-03,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000374813,-0.364855129,0.999519714
"12","CO2",2025-06-03,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.00436988,-39.16440688,0.999556381
"13","CO2",2025-06-03,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.005427037,-410.701602,0.997695695
"14","CH4",2025-09-23,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001699272,-0.36364615,0.999365585
"15","CH4",2025-09-23,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001645721,-0.302217089,0.999820016
"16","N2O",2025-09-23,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000307201,-0.129813571,0.996864375
"17","N2O",2025-09-23,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.00039424,-1.239997568,0.996491404
"18","CO2",2025-09-23,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.014290722,-133.2216274,0.992711707
"19","CO2",2025-09-23,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.019925561,-758.9107959,0.993153873
"20","CH4",2025-09-24,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001699272,-0.36364615,0.999365585
"21","CH4",2025-09-24,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001645721,-0.302217089,0.999820016
"22","N2O",2025-09-24,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000307201,-0.129813571,0.996864375
"23","N2O",2025-09-24,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.00039424,-1.239997568,0.996491404
"24","CO2",2025-09-24,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.014290722,-133.2216274,0.992711707
"25","CO2",2025-09-24,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.019925561,-758.9107959,0.993153873
"26","CH4",2025-09-24,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001696157,-0.374152258,0.998989143
"27","CH4",2025-09-24,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001674034,-0.444470486,0.999847769
"28","N2O",2025-09-24,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.00030473,-0.128294418,0.996339544
"29","N2O",2025-09-24,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000390151,-1.194079817,0.995910931
