Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes
LabAir,Lab air,unknown,unknown,unknown,89265,4152,842,
Blank1,Blank,unknown,unknown,unknown,9356,189,0,
Blank2,Blank,unknown,unknown,unknown,10054,140,58,
12mlLowTri,ChkStd,unknown,unknown,unknown,339598,6231,11533,
Blank3,Blank,unknown,unknown,unknown,9669,231,162,
20260420_Blank4,Standard,0,0,0,8504,266,76,
20260420_3mlLowTri,Standard,500,2.5,1.25,112715,2228,3652,
20260420_6mlLowTri,Standard,1000,5,2.5,172425,3403,6071,
20260420_9mlLowTri,Standard,1500,7.5,3.75,242363,4800,8639,
20260420_12mlLowTri_1,Standard,2000,10,5,314673,6249,11514,
20260420_3mlMidTri,Standard,5000,25,12.55,828550,17304,31218,
20260420_6mlMidTri,Standard,10000,50,25.1,1445638,31398,55469,
20260420_9mlMidTri,Standard,15000,75,37.65,2274837,51768,89548,
20260420_12mlMidTri,Standard,20000,100,50.2,2679324,62943,106520,
20260420_3mlHighTri,Standard,12525,251.5,125,1871840,165067,216810,
20260420_6mlHighTri,Standard,25050,503,250,3302945,316922,379088,
20260420_9mlHighTri,Standard,37575,754.5,375,4682248,479955,536046,
20260420_12mlHighTri,Standard,50100,1006,500,5845986,626746,671982,
Blank5,Blank,unknown,unknown,unknown,34396,1042,4775,
Blank6,Blank,unknown,unknown,unknown,15369,193,1483,
ChkStd_12mLLowTri1,ChkStd,unknown,unknown,unknown,316464,6336,11726,
Blank7,Blank,unknown,unknown,unknown,20820,201,665,
Gcrew_UP_A_T0,Sample,unknown,unknown,unknown,8449395,1617,5109,
Gcrew_UP_A_T1,Sample,unknown,unknown,unknown,8989281,1619,27298,
Gcrew_UP_A_T2,Sample,unknown,unknown,unknown,8868999,1604,51643,
Gcrew_UP_A_T3,Sample,unknown,unknown,unknown,9099878,1617,73878,
Gcrew_UP_A_T4,Sample,unknown,unknown,unknown,8945538,1744,87584,
Gcrew_UP_A_T5,Sample,unknown,unknown,unknown,9077865,2058,203109,
Gcrew_UP_A_T6,Sample,unknown,unknown,unknown,8370990,1770,149769,
Gcrew_UP_B_T0,Sample,unknown,unknown,unknown,9192707,2356,8158,
Gcrew_UP_B_T1,Sample,unknown,unknown,unknown,9571373,2018,25761,
Gcrew_UP_B_T2,Sample,unknown,unknown,unknown,10394139,2751,58262,
ChkStd_12mLLowTri2,ChkStd,unknown,unknown,unknown,381639,6563,32824,
Blank9,Blank,unknown,unknown,unknown,19013,291,0,
Gcrew_UP_B_T3,Sample,unknown,unknown,unknown,9598168,2494,94616,
Gcrew_UP_B_T4,Sample,unknown,unknown,unknown,9255008,2112,115262,
Gcrew_UP_B_T5,Sample,unknown,unknown,unknown,9705179,2546,160629,
Gcrew_UP_B_T6,Sample,unknown,unknown,unknown,9174675,2421,189454,
Gcrew_UP_C_T0,Sample,unknown,unknown,unknown,8079774,1756,23755,
Gcrew_UP_C_T1,Sample,unknown,unknown,unknown,8835037,1741,43293,
Gcrew_UP_C_T2,Sample,unknown,unknown,unknown,8067341,1678,71487,
Gcrew_UP_C_T3,Sample,unknown,unknown,unknown,7881879,2021,114772,
Gcrew_UP_C_T4,Sample,unknown,unknown,unknown,8279504,1738,126148,
Gcrew_UP_C_T5,Sample,unknown,unknown,unknown,9797198,2455,261502,
ChkStd_12mLLowTri3,ChkStd,unknown,unknown,unknown,347385,6538,9895,
Blank8,Blank,unknown,unknown,unknown,18918,120,272,
