Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
LabAir,Lab air,unknown,unknown,unknown,70240,3101,859,,5/4/2026
Blank1,Blank,unknown,unknown,unknown,3283,227,0,,5/4/2026
Blank2,Blank,unknown,unknown,unknown,13893,185,98,,5/4/2026
20260504_0ppm,Standard,0,0,0,2827,272,13,,5/4/2026
20260504_3mlLowTri,Standard,500,2.5,1.25,72180,1857,2910,,5/4/2026
20260504_6mlLowTri,Standard,1000,5,2.5,125093,3296,5344,,5/4/2026
20260504_9mlLowTri,Standard,1500,7.5,3.75,191350,4829,8350,,5/4/2026
20260504_12mlLowTri,Standard,2000,10,5,249751,6065,10669,,5/4/2026
20260504_3mlMidTri,Standard,5000,25,12.55,591393,15264,26270,,5/4/2026
20260504_6mlMidTri,Standard,10000,50,25.1,1105297,30026,50802,,5/4/2026
20260504_9mlMidTri,Standard,15000,75,37.65,1590034,44955,74144,,5/4/2026
20260504_12mlMidTri,Standard,20000,100,50.2,2046973,59641,96556,,5/4/2026
20260504_3mlHighTri,Standard,12525,251.5,125,1434165,158392,199802,,5/4/2026
20260504_6mlHighTri,Standard,25050,503,250,2499651,299178,345455,,5/4/2026
20260504_9mlHighTri,Standard,37575,754.5,375,3496415,443783,486075,,5/4/2026
20260504_12mlHighTri,Standard,50100,1006,500,4473544,593574,624699,,5/4/2026
Blank3,Blank,unknown,unknown,unknown,27060,1404,5156,,5/4/2026
Blank4,Blank,unknown,unknown,unknown,6300,261,938,,5/4/2026
ChkStd_12mLLowTri1,ChkStd,unknown,unknown,unknown,298742,7825,11913,,5/4/2026
Blank5,Blank,unknown,unknown,unknown,66930,1766,1279,,5/4/2026
Gcrew_WC_B_T0,Sample,unknown,unknown,unknown,3785484,2638,5411,,5/4/2026
Gcrew_WC_B_T1,Sample,unknown,unknown,unknown,4237576,14192,17695,,5/4/2026
