Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
LabAir,Lab air,unknown,unknown,unknown,223981,1310,780,,5/5/2026
Blank1,Blank,unknown,unknown,unknown,12766,204,0,,5/5/2026
Blank2,Blank,unknown,unknown,unknown,11625,113,36,,5/5/2026
20260505_0ppm,Standard,0,0,0,11137,160,0,,5/5/2026
20260505_3mlLowTri,Standard,500,2.5,1.25,221488,1632,2894,,5/5/2026
20260505_6mlLowTri,Standard,1000,5,2.5,429045,3292,5989,,5/5/2026
20260505_9mlLowTri,Standard,1500,7.5,3.75,,,,N2O looks off,5/5/2026
20260505_12mlLowTri,Standard,2000,10,5,797913,6129,11493,,5/5/2026
20260505_3mlMidTri,Standard,5000,25,12.55,1914944,15319,27945,,5/5/2026
20260505_9mlLowTri_2,Standard,1500,7.5,3.75,668638,5119,9626,,5/5/2026
20260505_6mlMidTri,Standard,10000,50,25.1,3533513,30138,53128,,5/5/2026
20260505_9mlMidTri,Standard,15000,75,37.65,5075694,45411,78068,,5/5/2026
20260505_12mlMidTri,Standard,20000,100,50.2,6512499,61049,104126,,5/5/2026
20260505_3mlHighTri,Standard,12525,251.5,125,4424657,156866,207456,,5/5/2026
20260505_6mlHighTri,Standard,25050,503,250,7771427,303700,361037,,5/5/2026
20260505_9mlHighTri,Standard,37575,754.5,375,10978143,463486,517192,,5/5/2026
20260505_12mlHighTri,Standard,50100,1006,500,13866861,617911,668878,,5/5/2026
Blank3,Blank,unknown,unknown,unknown,93637,1194,6380,,5/5/2026
Blank4,Blank,unknown,unknown,unknown,24952,173,1427,,5/5/2026
ChkStd_12mLLowTri1,ChkStd,unknown,unknown,unknown,742469,6253,12024,,5/5/2026
Blank5,Blank,unknown,unknown,unknown,20300,169,760,,5/5/2026
SWH_TR_C_T0,Sample,unknown,unknown,unknown,11882643,9039,4755,,5/5/2026
SWH_TR_C_T1,Sample,unknown,unknown,unknown,12699978,12441,16133,,5/5/2026
SWH_TR_C_T2,Sample,unknown,unknown,unknown,12449663,16265,15563,,5/5/2026
SWH_TR_C_T3,Sample,unknown,unknown,unknown,9638868,20991,14602,,5/5/2026
SWH_TR_C_T4,Sample,unknown,unknown,unknown,8634410,15241,18518,,5/5/2026
SWH_TR_C_T5,Sample,unknown,unknown,unknown,13824662,209645,4783,,5/5/2026
SWH_TR_C_T6,Sample,unknown,unknown,unknown,10334314,23363,4542,,5/5/2026
SWH_WC_A_T0,Sample,unknown,unknown,unknown,13205134,38907,2082,,5/5/2026
SWH_WC_A_T1,Sample,unknown,unknown,unknown,12105372,16299,3955,,5/5/2026
SWH_WC_A_T2,Sample,unknown,unknown,unknown,8209353,19826,4577,,5/5/2026
