Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
LabAir,Lab air,unknown,unknown,unknown,186020,1293,1129,,5/11/2026
Blank1,Blank,unknown,unknown,unknown,7191,149,0,,5/11/2026
Blank2,Blank,unknown,unknown,unknown,9060,131,0,,5/11/2026
20260511_0ppm,Standard,0,0,0,7954,164,0,,5/11/2026
20260511_3mlLowTri,Standard,500,2.5,1.25,216288,1857,,N2O curve was weird reran,5/11/2026
20260511_6mlLowTri,Standard,1000,5,2.5,393005,3161,,,5/11/2026
20260511_9mlLowTri,Standard,1500,7.5,3.75,575737,4718,,,5/11/2026
20260511_12mlLowTri,Standard,2000,10,5,763426,6262,,,5/11/2026
20260511_3mlMidTri,Standard,5000,25,12.55,1866454,16101,35647,,5/11/2026
20260511_3mlLowTri_2,Standard,500,2.5,1.25,246999,2014,4914,,5/11/2026
20260511_6mlLowTri_2,Standard,1000,5,2.5,387481,3199,7739,,5/11/2026
20260511_9mlLowTri_2,Standard,1500,7.5,3.75,578604,4843,11381,,5/11/2026
20260511_12mlLowTri_2,Standard,2000,10,5,745454,6183,14933,,5/11/2026
20260511_6mlMidTri,Standard,10000,50,25.1,3261712,29393,62363,,5/11/2026
20260511_9mlMidTri,Standard,15000,75,37.65,4800015,45042,90726,,5/11/2026
20260511_12mlMidTri,Standard,20000,100,50.2,6332145,61780,119517,,5/11/2026
20260511_3mlHighTri,Standard,12525,251.5,125,4481870,164367,261960,,5/11/2026
20260511_6mlHighTri,Standard,25050,503,250,7731876,308876,468791,,5/11/2026
20260511_9mlHighTri,Standard,37575,754.5,375,10909833,467325,566249,,5/11/2026
20260511_12mlHighTri,Standard,50100,1006,500,13701634,613116,712453,,5/11/2026
Blank3,Blank,unknown,unknown,unknown,40139,466,3579,,5/11/2026
Blank4,Blank,unknown,unknown,unknown,15611,280,1244,,5/11/2026
ChkStd_12mLLowTri1,ChkStd,unknown,unknown,unknown,724846,6250,15395,,5/11/2026
Blank5,Blank,unknown,unknown,unknown,17535,225,776,,5/11/2026
MSM_TR_A_T0,Sample,unknown,unknown,unknown,12141106,1221,8698,,5/11/2026
MSM_TR_A_T1,Sample,unknown,unknown,unknown,12508969,1390,7798,,5/11/2026
MSM_TR_A_T2,Sample,unknown,unknown,unknown,14690487,1619,16141,,5/11/2026
MSM_TR_A_T3,Sample,unknown,unknown,unknown,12955761,1015,12537,,5/11/2026
MSM_TR_A_T4,Sample,unknown,unknown,unknown,15432685,1604,7766,,5/11/2026
MSM_TR_A_T5,Sample,unknown,unknown,unknown,15496484,1835,13307,,5/11/2026
MSM_TR_A_T6,Sample,unknown,unknown,unknown,15828981,1715,11668,,5/11/2026
MSM_TR_B_T0,Sample,unknown,unknown,unknown,15828981,1715,11668,,5/11/2026
MSM_TR_B_T1,Sample,unknown,unknown,unknown,18541593,3130,45464,,5/11/2026
