Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
LabAir,Lab air,unknown,unknown,unknown,294519,1583,833,,5/12/2026
Blank1,Blank,unknown,unknown,unknown,12646,206,0,,5/12/2026
Blank2,Blank,unknown,unknown,unknown,17036,165,0,,5/12/2026
20260512_0ppm,Standard,0,0,0,9538,139,0,,5/12/2026
20260512_3mlLowTri,Standard,500,2.5,1.25,179609,1719,2878,,5/12/2026
20260512_6mlLowTri,Standard,1000,5,2.5,335229,3239,5438,,5/12/2026
20260512_9mlLowTri,Standard,1500,7.5,3.75,495459,4667,8051,,5/12/2026
20260512_12mlLowTri,Standard,2000,10,5,644945,6111,10538,,5/12/2026
20260512_3mlMidTri,Standard,5000,25,12.55,1598903,15857,26375,,5/12/2026
20260512_6mlMidTri,Standard,10000,50,25.1,2998934,31276,50907,,5/12/2026
20260512_9mlMidTri,Standard,15000,75,37.65,4372245,47817,76291,,5/12/2026
20260512_12mlMidTri,Standard,20000,100,50.2,5439425,61644,97315,,5/12/2026
20260512_3mlHighTri,Standard,12525,251.5,125,3613238,152014,187829,,5/12/2026
20260512_6mlHighTri,Standard,25050,503,250,6641393,309970,346565,,5/12/2026
20260512_9mlHighTri,Standard,37575,754.5,375,9158156,456267,479759,,5/12/2026
20260512_12mlHighTri,Standard,50100,1006,500,11702273,615023,619039,,5/12/2026
Blank3,Blank,unknown,unknown,unknown,69440,1522,5317,,5/12/2026
Blank4,Blank,unknown,unknown,unknown,16131,222,904,,5/12/2026
ChkStd_12mLLowTri1,ChkStd,unknown,unknown,unknown,637365,6114,11265,,5/12/2026
Blank5,Blank,unknown,unknown,unknown,13772,218,425,,5/12/2026
GWI_UP_A_T0,Sample,unknown,unknown,unknown,6728547,1517,3614,messed up data collection the 2 times,5/12/2026
GWI_UP_A_T1,Sample,unknown,unknown,unknown,13847439,1636,5542,,5/12/2026
GWI_UP_A_T2,Sample,unknown,unknown,unknown,15633310,1049,11552,,5/12/2026
GWI_UP_A_T3,Sample,unknown,unknown,unknown,11600682,4157,19622,,5/12/2026
GWI_UP_A_T4,Sample,unknown,unknown,unknown,11150002,1092,77359,,5/12/2026
GWI_UP_A_T5,Sample,unknown,unknown,unknown,14271425,1293,24336,,5/12/2026
GWI_UP_A_T6,Sample,unknown,unknown,unknown,13214080,1011,41913,,5/12/2026
GWI_UP_B_T0,Sample,unknown,unknown,unknown,9874077,828,3333,,5/12/2026
