Site,Zone,Replicate,Sample_ID,DNF_Rate_g_hr,DNRA_Rate_g_hr,pH,Percent_Water_WetSoil,Percent_OM_WetSoil,Percent_Water_drySoil,Percent_OM_drySoil,HG_Soil_Moisture_wfv,HG_Soil_Moisture_percent,HG_Soil_Temperature_C,HG_Soil_Temperature_F ,HG_Bulk_EC(Raw)_dS/m,HG_Bulk_EC(TC)_dS/m,HG_PoreWater EC_dS/m,HG_PoreWater_EC_Offset,HG_Raw_Real_Dielectric,HG_Raw_Imaginary_Dielectric,HG_Loss_Tangent,HG_Memo,Site,Zone,Replicate,Sample_ID,SO4_ppm,SO4_Area,Cl_ppm,Cl_Area,SO4_mM,Cl_mM,salinity,Soil_EC,Soil_Sal,Soil KCl NH4 (uM),Soil KCl Nox (uM),Soil KCl DIN (uM),WetOM_SoilDIN,WetOM_SoilNOx
Gcrew,UP,A,Gcrew_UP_A,0.011055016,-0.20048884,4.5,12,21.8,114,88.8,0.061,6.1,19.3,66.8,0.04,0.04,2.19,3.4,4.833,1.403,0.29,gcrew up a ,GCReW,UP,A,1_NCycle_GCReW_UP_A,0.6769,0.0111,3.9267,0.0846,0.021113537,0.110767278,0.007121547,38,0,41.40032984,0.014472,41.41480184,0.52638185,1506.357103
Gcrew,UP,B,Gcrew_UP_B,0.029066164,-0.303039682,4.63,12.5,22.4,114,88.6,0.141,14.1,19.3,66.8,0.06,0.06,0.91,3.4,8.594,2.021,0.24,gcrew up b ,GCReW,UP,B,2_NCycle_GCReW_UP_B,NA,NA,3.2605,0.0702,NA,0.091974612,0.005917724,17,0,58.13517816,0.027106,58.16228416,0.385129304,826.3853021
Gcrew,UP,C,Gcrew_UP_C,0.618821777,2.193437577,4.62,8.9,19.9,110,87.9,0.112,11.2,19.3,66.8,0.06,0.07,1.47,3.4,7.14,2.202,0.31,gcrew up C ,GCReW,UP,C,3_NCycle_GCReW_UP_C,1.3379,0.0219,17.7707,0.3827,0.041731129,0.50128914,0.032137655,15,0,51.61244262,0.015107,51.62754962,0.385453118,1317.27014
Gcrew,TR,A,Gcrew_TR_A,17.1485588,0.342753919,4.59,39.2,46.1,164,88.6,0.532,53.2,19.3,66.8,0.27,0.29,0.58,3.4,42.544,9.728,0.23,gcrew tr a,GCReW,TR,A,4_NCycle_GCReW_TR_A,8.3927,0.1374,2.5838,0.0556,0.261781036,0.072885755,0.004694927,63,0,32.01089479,0.018898,32.02979279,1.43928499,2439.411578
Gcrew,TR,B,Gcrew_TR_B,23.50913717,0.713492054,4.67,38,46.1,161,87,0.494,49.4,19.1,66.4,0.28,0.31,0.7,3.4,38.1,10.06,0.26,gcrew tr b,GCReW,TR,B,5_NCycle_GCReW_TR_B,6.2007,0.1015,5.9238,0.1276,0.193409233,0.167102962,0.010730307,53,0,46.08972849,0.018789,46.10851749,0.999815273,2453.563255
Gcrew,TR,C,Gcrew_TR_C,12.52916724,0.721160882,4.62,36.7,44.3,158,88.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GCReW,TR,C,6_NCycle_GCReW_TR_C,2.308,0.0378,4.1562,0.0895,0.071990019,0.117241185,0.007536253,31,0,47.30621774,0.014052,47.32026974,0.936173869,3152.576146
Gcrew,WC,A,Gcrew_WC_A,1.63425083,4.090215092,5.36,87.5,96.3,799,29.3,0.95,95,20.5,68.9,4.39,4.7,2.43,3.4,155.186,157.845,1.02,gcrew wc a,GCReW,WC,A,7_NCycle_GCReW_WC_A,202.9435,1.6612,1145.5178,12.3341,6.330115409,32.31361918,2.069976665,4090,2.1,48.39448264,0.083295,48.47777764,1.9864772,1156.131821
Gcrew,WC,B,Gcrew_WC_B,0.045379145,2.115105988,4.85,88.7,95.4,883,41,0.95,95,19.9,67.8,3.93,4.24,2.1,3.4,161.724,141.479,0.87,gcrew wc b,GCReW,WC,B,8_NCycle_GCReW_WC_B,166.3026,1.3613,580.0553,6.2456,5.187230193,16.36263188,1.048185927,4620,2.4,42.80965538,0.011858,42.82151338,2.227852135,8045.201552
Gcrew,WC,C,Gcrew_WC_C,2.869635598,1.932493368,5.6,86.7,96.9,751,23.5,0.95,95,20.3,68.5,3.95,4.24,2.09,3.4,162.493,142.262,0.88,gcrew wc c,GCReW,WC,C,9_NCycle_GCReW_WC_C,191.8087,1.5701,1219.6183,13.132,5.982804117,34.40390127,2.203876268,4290,2.2,95.14660841,0.010525,95.15713341,1.018315669,9206.650831
MSM,UP,A,MSM_UP_A,4.68239016,2.547213287,4.58,33.8,40.7,151,89.6,0.238,23.8,24.7,76.4,0.61,0.61,4.26,3.4,14.636,21.827,1.49,msm-upland-coreA,MSM,UP,A,10_NCycle_MSM_UP_A,12.0633,0.1975,146.6534,3.1581,0.376272614,4.136908322,0.265028694,409,0,4.077477207,0.028858,4.106335207,9.91151427,1410.354148
